,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
3601,CJ O'Grady,967,2016,2019,35,87,967,11.1,12,27.6,TE,Arkansas
3602,Hiram Moore,967,2003,2006,30,76,967,12.7,4,32.2,WR,Marshall
3603,Ricky Wall,967,1981,1984,37,59,967,16.4,9,26.1,WR,North Carolina State
3604,Brian Thompson,966,1989,1992,43,85,966,11.4,4,22.5,WR,Tulsa
3605,Daniel Coats,966,2003,2006,46,86,966,11.2,9,21,TE,BYU
3606,Elliott Carson,966,1997,2000,37,88,966,11,5,26.1,TE,Vanderbilt
3607,Jerry Dawson,965,1987,1990,44,67,965,14.4,7,21.9,WR,Navy
3608,Jim Benedict,965,1968,1969,19,67,965,14.4,7,50.8,TE,Rutgers
3609,Juan Gorman,965,1992,1994,33,81,965,11.9,9,29.2,WR,Ball State
3610,Khary Sharpe,965,2001,2003,31,76,965,12.7,8,31.1,WR,Duke
3611,Max Peacock,965,1967,1968,20,69,965,14,7,48.3,WR,Arkansas
3612,Neil Chamberlin,965,1973,1975,27,79,965,12.2,3,35.7,WR,Princeton
3613,Peter Tuipulotu,965,1987,1991,47,82,965,11.8,5,20.5,RB,BYU
3614,Tailique Williams,965,2021,2024,34,78,965,12.4,7,28.4,WR,Georgia State
3615,Aaron McLean,964,2015,2018,45,69,964,14,4,21.4,WR,Connecticut
3616,Jarrail Jackson,964,1996,1999,45,67,964,14.4,7,21.4,WR,Oklahoma
3617,Jaylond Adams,964,2017,2019,25,81,964,11.9,5,38.6,WR,Southern Mississippi
3618,Jimmy Kelly,964,1973,1975,33,76,964,12.7,1,29.2,WR,Cincinnati
3619,Leroy Hodge,964,1996,1999,48,70,964,13.8,4,20.1,WR,Texas A&M
3620,Nate Cole,964,2013,2016,42,95,964,10.1,7,23,WR,Cincinnati
3621,Albert Bell,963,1985,1986,23,63,963,15.3,11,41.9,WR,Alabama
3622,Antonio Andrews,963,2010,2013,42,85,963,11.3,3,22.9,RB,Western Kentucky
3623,Antonio Chatman,963,1999,2000,20,68,963,14.2,3,48.2,WR,Cincinnati
3624,Dougie Allen,963,1998,2001,36,86,963,11.2,5,26.8,WR,Kentucky
3625,Jamel Riddle,963,2000,2002,32,57,963,16.9,6,30.1,WR,Syracuse
3626,Joey Walters,963,1974,1976,33,59,963,16.3,6,29.2,WR,Clemson
3627,Kyle Carter,963,2012,2015,43,84,963,11.5,4,22.4,TE,Penn State
3628,Marcellus Rivers,963,1998,2000,32,68,963,14.2,10,30.1,TE,Oklahoma State
3629,Phil Denfeld,963,1979,1982,44,100,963,9.6,4,21.9,TE,Wake Forest
3630,Ryan Roskelly,963,1994,1995,22,78,963,12.3,3,43.8,WR,Memphis
3631,Charles Henderson,962,1966,1968,30,56,962,17.2,8,32.1,WR,West Texas State
3632,Greg Zomalt,962,1989,1992,44,110,962,8.7,1,21.9,RB,California
3633,Jamie Harris,962,1983,1984,22,68,962,14.1,11,43.7,WR,Oklahoma State
3634,Ketron Jackson Jr.,962,2021,2024,39,53,962,18.2,6,24.7,WR,"Arkansas,Baylor"
3635,Shawn Mills,962,1999,2000,22,78,962,12.3,5,43.7,WR,Southern Mississippi
3636,Todd Boyd,962,2014,2017,45,82,962,11.7,5,21.4,WR,Georgia State
3637,Turhon O'Bannon,962,1992,1993,20,61,962,15.8,11,48.1,WR,New Mexico
3638,Alan Watson,961,1979,1982,40,59,961,16.3,1,24,WR,Kentucky
3639,Chris Moyneur,961,1972,1974,34,76,961,12.6,6,28.3,TE,San Jose State
3640,Isaiah Anderson,961,2009,2012,42,63,961,15.3,8,22.9,WR,Oklahoma State
3641,Ja'khi Douglas,961,2020,2024,41,58,961,16.6,6,23.4,RB,Florida State
3642,Jalen Harvey,961,2015,2018,38,58,961,16.6,2,25.3,S,Arizona State
3643,Lewis Bond,961,2021,2024,25,74,961,13,9,38.4,WR,Boston College
3644,Mark Bailey,961,1975,1977,33,65,961,14.8,6,29.1,WR,Northwestern
3645,Bill Scott,960,1970,1972,33,74,960,13,2,29.1,TE,Stanford
3646,Cary Angeline,960,2017,2020,36,61,960,15.7,12,26.7,TE,"North Carolina State,USC"
3647,Danny Oquendo,960,2005,2008,46,85,960,11.3,5,20.9,WR,Maryland
3648,Darnell Salomon,960,2016,2018,29,58,960,16.6,9,33.1,WR,South Florida
3649,Denny Jackson,960,1968,1969,20,53,960,18.1,9,48,WR,Cincinnati
3650,Raynald Ray,960,1997,2000,44,44,960,21.8,10,21.8,RB,Ohio
3651,Steve Sanders,960,1991,1993,32,60,960,16,5,30,WR,Virginia Tech
3652,Billy Davis,959,1985,1988,44,61,959,15.7,4,21.8,WR,Cincinnati
3653,Chris Hutton,959,1994,1998,37,69,959,13.9,5,25.9,TE,Rutgers
3654,Gary Boreham,959,1969,1970,22,45,959,21.3,12,43.6,WR,Fresno State
3655,Greg Russell,959,1996,1997,19,55,959,17.4,5,50.5,WR,Nevada
3656,O.J. Ross,959,2010,2012,31,100,959,9.6,6,30.9,WR,Purdue
3657,Ryan Ikebe,959,1996,1996,12,61,959,15.7,9,79.9,WR,Boise State
3658,Brandon West,958,2006,2009,49,126,958,7.6,6,19.6,RB,Western Michigan
3659,Chris Miller,958,1995,1996,23,61,958,15.7,6,41.7,WR,USC
3660,Eric Henderson,958,1992,1995,44,75,958,12.8,11,21.8,WR,Miami (OH)
3661,Greg Papajohn,958,1978,1981,44,60,958,16,4,21.8,TE,Navy
3662,Jazz Peavy,958,2014,2017,33,68,958,14.1,5,29,WR,Wisconsin
3663,Joe Goldsmith,958,1972,1974,33,61,958,15.7,5,29,TE,Florida State
3664,Joe Jones,958,2008,2011,44,81,958,11.8,5,21.8,RB,Temple
3665,LeRoy Smith,958,1989,1992,43,104,958,9.2,3,22.3,RB,Bowling Green
3666,Paul Bassa,958,1970,1971,21,69,958,13.9,3,45.6,TE,Air Force
3667,Robert Hinton,958,1990,1993,38,67,958,14.3,6,25.2,WR,North Carolina State
3668,Ron Kullas,958,1974,1976,33,78,958,12.3,5,29,WR,Minnesota
3669,Calvin Hall,957,1995,1998,38,56,957,17.1,3,25.2,KR,Alabama
3670,Devon Hughes,957,2011,2014,35,91,957,10.5,11,27.3,WR,Buffalo
3671,Mike Mason,957,2003,2005,35,63,957,15.2,5,27.3,WR,North Carolina
3672,Shawn McWashington,957,1995,1997,32,64,957,15,4,29.9,WR,Washington State
3673,Brett Biggs,956,2004,2005,24,97,956,9.9,6,39.8,RB,Akron
3674,Gwen Cooper,956,1968,1969,20,50,956,19.1,12,47.8,RB,UCLA
3675,Kale Wedemeyer,956,1991,1992,22,78,956,12.3,8,43.5,WR,Pacific
3676,Mike Creed,956,1969,1971,32,60,956,15.9,5,29.9,WR,Kansas State
3677,Sean Stewart,956,1992,1995,44,77,956,12.4,1,21.7,WR,Cincinnati
3678,Zachari Jackson,956,2018,2022,49,79,956,12.1,4,19.5,WR,Louisiana-Monroe
3679,David Porter,954,2011,2014,48,74,954,12.9,10,19.9,WR,Texas Christian
3680,Tre Everett,954,1990,1992,27,57,954,16.7,10,35.3,WR,Florida
3681,Ken McLean,953,1962,1965,30,73,953,13.1,2,31.8,WR,Texas A&M
3682,Kyle Ford,953,2019,2024,39,66,953,14.4,6,24.4,WR,"UCLA,USC"
3683,Sam Collins,953,1999,2002,47,73,953,13.1,7,20.3,WR,Alabama
3684,Teddy Johnson,953,1997,2000,39,54,953,17.6,10,24.4,WR,Northwestern
3685,Gary Couch,952,1984,1987,44,43,952,22.1,3,21.6,RB,Minnesota
3686,Greg Hobbs,952,1980,1983,43,69,952,13.8,6,22.1,WR,Louisiana
3687,Richard Dickson,952,2006,2009,51,90,952,10.6,10,18.7,TE,LSU
3688,Talik Keaton,952,2018,2023,52,83,952,11.5,4,18.3,WR,Marshall
3689,Trumaine Riley,952,2003,2006,44,95,952,10,2,21.6,WR,Eastern Michigan
3690,Antwuan Wyatt,951,1993,1995,31,73,951,13,6,30.7,WR,Clemson
3691,Blake Banham,951,2015,2018,42,85,951,11.2,5,22.6,RB,Eastern Michigan
3692,Charlie Gantt,951,2008,2010,39,65,951,14.6,9,24.4,TE,Michigan State
3693,Darius Lassiter,951,2022,2024,26,77,951,12.4,10,36.6,WR,"BYU,Eastern Michigan"
3694,Donald Buckram,951,2006,2010,41,71,951,13.4,4,23.2,RB,UTEP
3695,Jafus Gaines,951,2012,2015,35,82,951,11.6,6,27.2,WR,Texas State
3696,Jalin Conyers,951,2021,2024,38,85,951,11.2,8,25,TE,"Arizona State,Texas Tech"
3697,Rick Massie,951,1981,1983,33,60,951,15.9,5,28.8,WR,Kentucky
3698,Tommy Cook,951,2001,2005,40,74,951,12.9,6,23.8,WR,Kentucky
3699,Chris Corders,950,1987,1989,28,72,950,13.2,9,33.9,WR,North Carolina State
3700,Kerry Brown,950,1993,1994,19,52,950,18.3,12,50,WR,Pacific
3701,Khafre Brown,950,2019,2024,41,49,950,19.4,8,23.2,,"Arkansas,North Carolina,South Florida"
3702,Simms McElfresh,950,2014,2015,24,80,950,11.9,11,39.6,WR,Appalachian State
3703,Aubrey Thompson,949,1992,1993,22,87,949,10.9,8,43.1,TE,Utah State
3704,Dane Looker,949,1998,1999,22,84,949,11.3,5,43.1,WR,Washington
3705,Jalen Moss,949,2022,2024,18,70,949,13.6,6,52.7,WR,Fresno State
3706,Jarrod Jackson,949,2016,2019,46,62,949,15.3,6,20.6,WR,Louisiana
3707,John Johnson,949,2014,2017,49,81,949,11.7,4,19.4,WR,Troy
3708,Junior Vandeross III,949,2022,2024,29,68,949,14,7,32.7,WR,Toledo
3709,Lucas Reed,949,2009,2012,48,77,949,12.3,6,19.8,TE,New Mexico
3710,Ray Curry,949,1996,1998,35,76,949,12.5,5,27.1,WR,Toledo
3711,Ricki Lopez,949,1987,1990,42,84,949,11.3,3,22.6,PR,UTEP
3712,Sim Nelson,949,1982,1984,33,80,949,11.9,6,28.8,TE,Michigan
3713,Torii Hunter Jr.,949,2014,2016,30,73,949,13,6,31.6,WR,Notre Dame
3714,Trevor Wilson,949,2019,2024,40,58,949,16.4,6,23.7,WR,"Buffalo,Kansas"
3715,Amp Arnold,948,1977,1980,37,54,948,17.6,6,25.6,WR,Georgia
3716,Andrew Pratt,948,2012,2015,41,75,948,12.6,4,23.1,WR,Akron
3717,Andy Bark,948,1979,1980,23,59,948,16.1,6,41.2,WR,Air Force
3718,Chris Jordan,948,2003,2006,38,70,948,13.5,7,24.9,WR,Washington State
3719,Christian Sims,948,2019,2022,40,94,948,10.1,5,23.7,TE,Bowling Green
3720,Doug Martin,948,1972,1974,33,58,948,16.3,5,28.7,WR,Vanderbilt
3721,Joseph Manjack IV,948,2021,2024,30,78,948,12.2,9,31.6,WR,"Houston,USC"
3722,Merced Solis,948,1972,1974,32,66,948,14.4,5,29.6,TE,West Texas State
3723,Patrick Reddick,948,1997,2002,38,76,948,12.5,6,24.9,WR,Washington
3724,Cody Boyd,947,2003,2006,38,67,947,14.1,3,24.9,TE,Washington State
3725,Dominique Heath,947,2015,2017,35,95,947,10,7,27.1,WR,Kansas State
3726,Rafael Araujo-Lopes,947,2016,2018,39,83,947,11.4,6,24.3,WR,Pitt
3727,Andy Hill,946,1980,1984,44,51,946,18.5,6,21.5,WR,Missouri
3728,C.J. Best,946,2013,2015,25,95,946,10,3,37.8,RB,Texas State
3729,Dikki Dyson,946,1977,1978,22,59,946,16,2,43,WR,Arkansas State
3730,Nick Cullen,946,1987,1990,35,70,946,13.5,5,27,WR,Virginia Tech
3731,Don Horn,945,1980,1982,33,57,945,16.6,5,28.6,WR,Southern Mississippi
3732,Ervin Farris,945,1985,1988,44,74,945,12.8,7,21.5,RB,Texas Tech
3733,Khalil McClain,945,2017,2020,25,77,945,12.3,13,37.8,WR,"Troy,Tulane"
3734,Michael Ross,945,1991,1994,33,51,945,18.5,8,28.6,WR,Fresno State
3735,T.J. Graham,945,2018,2021,46,73,945,12.9,9,20.5,WR,Texas State
3736,Chancy Carr,944,1994,1997,42,69,944,13.7,3,22.5,WR,Memphis
3737,James Kidd,944,1993,1996,41,58,944,16.3,9,23,WR,Colorado
3738,Daniel Adams,943,1991,1994,37,71,943,13.3,7,25.5,WR,Houston
3739,Demitri Knowles,943,2012,2015,39,68,943,13.9,3,24.2,WR,Virginia Tech
3740,John Bonistalli,943,1968,1970,28,63,943,15,10,33.7,WR,Boston College
3741,Micheal Milton,943,1977,1978,22,52,943,18.1,6,42.9,WR,Texas Christian
3742,Romauldo Brown,943,1988,1990,30,59,943,16,3,31.4,WR,Toledo
3743,Sean Hummings,943,1988,1990,32,60,943,15.7,4,29.5,WR,Georgia
3744,Craig Cerretani,942,1975,1978,44,78,942,12.1,1,21.4,WR,Holy Cross
3745,Dan Prunzik,942,1989,1992,36,68,942,13.9,2,26.2,WR,Maryland
3746,Josh Imatorbhebhe,942,2017,2020,24,57,942,16.5,12,39.3,WR,"Illinois,USC"
3747,Kevin Baugh,942,1980,1983,45,60,942,15.7,7,20.9,WR,Penn State
3748,Matt Shelton,942,2002,2005,44,52,942,18.1,7,21.4,WR,Notre Dame
3749,Tim Horton,942,1986,1989,45,49,942,19.2,1,20.9,WR,Arkansas
3750,Brendan O'Leary-Orange,941,2016,2019,34,61,941,15.4,8,27.7,WR,Nevada
3751,Devon Williams,941,2018,2021,31,55,941,17.1,7,30.4,WR,"Oregon,USC"
3752,Ishmael Zamora,941,2015,2016,23,72,941,13.1,10,40.9,WR,Baylor
3753,Kwante Hampton,941,1982,1986,43,52,941,18.1,5,21.9,WR,"Long Beach State,Oregon"
3754,Ron Washington,941,1976,1980,39,56,941,16.8,5,24.1,WR,Arizona State
3755,Bryan Burnham,940,2009,2012,25,63,940,14.9,9,37.6,DB,Tulsa
3756,Courtney Lark,940,2016,2019,32,58,940,16.2,9,29.4,WR,Houston
3757,Gary Melton,940,1989,1991,31,70,940,13.4,7,30.3,WR,Rutgers
3758,Lance Hansen,940,1993,1996,38,80,940,11.8,5,24.7,WR,Kent State
3759,Randall Felton,940,1989,1993,56,80,940,11.8,2,16.8,WR,North Carolina
3760,Roberto Wallace,940,2007,2009,32,73,940,12.9,4,29.4,WR,San Diego State
3761,Sean Burwell,940,1990,1993,39,97,940,9.7,3,24.1,RB,Oregon
3762,Eric Poole,939,1982,1985,42,45,939,20.9,6,22.4,WR,South Carolina
3763,Imani Davis,939,2012,2015,46,90,939,10.4,5,20.4,WR,Akron
3764,Jacoby Jones,939,2022,2024,20,54,939,17.4,6,47,WR,"Ohio,UCF"
3765,Abdul Muhammad,938,1991,1994,45,61,938,15.4,6,20.8,WR,Nebraska
3766,Bill Davis,938,1978,1980,35,54,938,17.4,11,26.8,WR,BYU
3767,Dontae Fleming,938,2020,2024,49,73,938,12.8,6,19.1,WR,"Louisiana,Tulane"
3768,Eugene Cooper,938,2010,2011,22,84,938,11.2,9,42.6,WR,Bowling Green
3769,Stephone Paige,937,1981,1982,22,43,937,21.8,8,42.6,WR,Fresno State
3770,Alfred Mask,936,1978,1980,31,77,936,12.2,7,30.2,TE,Lamar
3771,Brian Linthicum,936,2007,2011,52,80,936,11.7,6,18,TE,"Clemson,Michigan State"
3772,Eddie Tate,936,1973,1975,33,60,936,15.6,5,28.4,WR,Southern Mississippi
3773,Eric Jackson,936,1992,1994,33,53,936,17.7,8,28.4,RB,Texas
3774,Larry Holmes,936,1990,1993,30,57,936,16.4,12,31.2,WR,Virginia
3775,Waymon Alridge,936,1981,1982,23,58,936,16.1,7,40.7,WR,Nevada-Las Vegas
3776,Adrian Cannon,935,2007,2010,45,86,935,10.9,6,20.8,WR,Maryland
3777,Eric Monette,935,2011,2012,22,70,935,13.4,6,42.5,WR,Western Michigan
3778,Gerald Harris,935,1996,1999,31,68,935,13.8,8,30.2,WR,Washington
3779,Joe Phillips,935,1981,1984,44,75,935,12.5,9,21.3,WR,Kentucky
3780,Roland Hawkins,935,1986,1987,22,55,935,17,2,42.5,WR,Oregon State
3781,Davin Dennis,934,2002,2005,46,67,934,13.9,7,20.3,WR,Kansas State
3782,Lorne Sam,934,2003,2007,39,64,934,14.6,1,23.9,QB,"Florida State,UTEP"
3783,Aaron Turner,933,2021,2024,41,106,933,8.8,5,22.8,WR,"Cincinnati,Connecticut"
3784,Brad Gaines,933,1986,1989,33,91,933,10.3,2,28.3,RB,Vanderbilt
3785,E.J. Scott,933,2011,2014,31,82,933,11.4,7,30.1,WR,"Virginia,Wake Forest"
3786,Ian Sample,933,2004,2006,21,73,933,12.8,11,44.4,WR,Hawaii
3787,Matthew Thomas,933,2001,2004,40,61,933,15.3,4,23.3,WR,South Carolina
3788,Mike Hutchings,933,1997,1998,22,70,933,13.3,2,42.4,WR,Western Michigan
