,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
3001,Stanley Monk,1149,1984,1987,42,294,1149,3.9,8,27.4,RB,Duke
3002,Chad Davis,1148,1991,1993,33,254,1148,4.5,9,34.8,RB,Army
3003,Jock Johnson,1148,1968,1970,31,295,1148,3.9,4,37,RB,Iowa State
3004,Riley Nelson,1148,2006,2012,40,305,1148,3.8,6,28.7,QB,"BYU,Utah State"
3005,Sherman Austin,1148,1999,2002,38,286,1148,4,8,30.2,WR,UTEP
3006,Billy Fletcher,1147,1963,1965,29,241,1147,4.8,9,39.6,QB,Memphis
3007,Dean Connors,1147,2022,2024,29,189,1147,6.1,12,39.6,RB,Rice
3008,Rooster Jones,1147,1978,1980,33,261,1147,4.4,11,34.8,RB,Pitt
3009,Josh Williams,1146,2020,2024,51,233,1146,4.9,13,22.5,RB,LSU
3010,Malik Roberson,1146,2015,2018,45,276,1146,4.2,6,25.5,RB,San Jose State
3011,Mike Rich,1146,1969,1971,32,270,1146,4.2,6,35.8,RB,Florida
3012,Tyler Huntley,1146,2016,2019,37,389,1146,2.9,16,31,QB,Utah
3013,Anthony Roberson,1145,1987,1988,24,177,1145,6.5,14,47.7,RB,Air Force
3014,Carl Bradford,1145,1964,1966,31,267,1145,4.3,9,36.9,RB,New Mexico
3015,King Doerue,1145,2019,2023,32,309,1145,3.7,10,35.8,RB,"California,Purdue"
3016,Antonio Williams,1144,2016,2019,35,202,1144,5.7,11,32.7,RB,"North Carolina,Ohio State"
3017,Daba Fofana,1144,2022,2024,27,272,1144,4.2,10,42.4,FB,Navy
3018,Damon Hood,1144,1991,1994,38,281,1144,4.1,9,30.1,RB,Kentucky
3019,Doug Bynum,1144,1971,1973,33,258,1144,4.4,3,34.7,RB,Tulane
3020,Dwayne Cherrington,1144,1996,1999,39,261,1144,4.4,10,29.3,RB,Colorado
3021,Javon Leake,1144,2017,2019,33,145,1144,7.9,17,34.7,RB,Maryland
3022,Jerry Hughes,1144,1971,1972,22,301,1144,3.8,13,52,RB,Utah State
3023,Tom Bryan,1144,1964,1966,30,265,1144,4.3,11,38.1,QB,Auburn
3024,Dick Scott,1142,1959,1961,28,305,1142,3.7,16,40.8,RB,Pacific
3025,James Hill,1142,1990,1993,43,261,1142,4.4,13,26.6,RB,Colorado
3026,Raynald Ray,1142,1997,2000,44,177,1142,6.5,11,26,RB,Ohio
3027,Robbie Richeson,1142,1977,1981,45,250,1142,4.6,5,25.4,RB,Utah
3028,Bruce Stephens,1141,1975,1977,27,247,1141,4.6,3,42.3,RB,Columbia
3029,Jerry Gaydash,1141,1981,1984,44,283,1141,4,4,25.9,RB,Eastern Michigan
3030,John Garner,1141,1972,1974,33,236,1141,4.8,5,34.6,RB,Texas Tech
3031,Ed Barbero,1140,1984,1985,22,246,1140,4.6,4,51.8,RB,California
3032,John Sai,1140,1961,1963,30,247,1140,4.6,19,38,RB,Navy
3033,Rick Purdy,1140,1966,1968,30,230,1140,5,6,38,RB,UCLA
3034,Carnie Norris,1139,1979,1982,38,239,1139,4.8,9,30,RB,Georgia
3035,Dan Boggan,1139,1988,1990,33,310,1139,3.7,9,34.5,RB,Western Michigan
3036,Dave Warner,1139,1978,1981,44,342,1139,3.3,16,25.9,QB,Syracuse
3037,Randolph Brown,1139,1983,1986,44,244,1139,4.7,7,25.9,RB,Southern Mississippi
3038,Brian Underwood,1138,1994,1997,38,273,1138,4.2,5,29.9,RB,Maryland
3039,Jarrett Brown,1138,2006,2009,38,234,1138,4.9,13,29.9,QB,West Virginia
3040,Johnny Ribet,1138,1969,1971,30,284,1138,4,13,37.9,RB,Davidson
3041,Matt Scott,1138,2008,2012,34,212,1138,5.4,8,33.5,QB,Arizona
3042,Melvin Dillard,1138,1956,1957,18,272,1138,4.2,0,63.2,RB,Purdue
3043,Deontae Cooper,1137,2013,2016,41,234,1137,4.9,6,27.7,HB,"San Jose State,Washington"
3044,Kenneth Session,1137,1979,1980,22,254,1137,4.5,9,51.7,RB,Tulsa
3045,Leo Cage,1137,1975,1979,44,248,1137,4.6,8,25.8,RB,Memphis
3046,Bentavious Thompson,1136,2018,2020,30,189,1136,6,13,37.9,RB,UCF
3047,Bentavious Thompson,1136,2018,2020,35,189,1136,6,13,32.5,,UCF
3048,Brady Cook,1136,2020,2024,39,310,1136,3.7,20,29.1,QB,Missouri
3049,Carroll Jarvis,1136,1964,1966,30,287,1136,4,8,37.9,RB,Virginia
3050,Jaxson Dart,1136,2021,2024,36,292,1136,3.9,14,31.6,QB,"Ole Miss,USC"
3051,Lamont Pegues,1136,1997,1998,22,263,1136,4.3,12,51.6,RB,Virginia Tech
3052,Ron Slack,1136,1986,1989,46,271,1136,4.2,14,24.7,RB,San Diego State
3053,Chris Porter,1135,2000,2001,20,221,1135,5.1,9,56.8,RB,UTEP
3054,C.J. Anderson,1135,2011,2012,25,198,1135,5.7,12,45.4,RB,California
