,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
201,Steve Tensi,56,SDG,4,30,1965,Florida State,1962,1964,60,504,944,440,53.4,6768,56,42,5.9,4.4,124.3,7.2,6.35,13.4,112.8,QB,Florida State
202,Zach Wilson,56,NYJ,1,2,2021,BYU,2018,2020,30,566,837,271,67.6,7652,56,15,6.7,1.8,162.9,9.1,9.67,13.5,255.1,QB,BYU
203,Ben Bennett,55,ATL,6,148,1984,Duke,1980,1983,42,820,1375,555,59.6,9614,55,57,4,4.1,123.3,7,5.93,11.7,228.9,QB,Duke
204,Bill Musgrave,55,DAL,4,106,1991,Oregon,1987,1990,37,582,1018,436,57.2,7631,55,38,5.4,3.7,130.5,7.5,6.9,13.1,206.2,QB,Oregon
205,Gifford Nielsen,55,OTI,3,73,1978,BYU,1975,1977,33,415,708,293,58.6,5830,55,29,7.8,4.1,145.2,8.2,7.94,14,176.7,QB,BYU
206,Jeff Rowe,55,CIN,5,151,2007,Nevada,2002,2006,45,682,1122,440,60.8,7862,55,33,4.9,2.9,129.9,7,6.66,11.5,174.7,QB,Nevada
207,Shawn Moore,55,DEN,11,284,1991,Virginia,1987,1990,38,421,762,341,55.2,6629,55,32,7.2,4.2,143.7,8.7,8.25,15.7,174.4,QB,Virginia
208,Bobby Hoying,54,PHI,3,85,1996,Ohio State,1992,1995,42,463,782,319,59.2,6751,54,33,6.9,4.2,146.1,8.6,8.12,14.6,160.7,QB,Ohio State
209,Dwayne Haskins,54,WAS,1,15,2019,Ohio State,2017,2018,22,413,590,177,70,5396,54,9,9.2,1.5,174,9.1,10.29,13.1,245.3,QB,Ohio State
210,Jake Rudock,54,DET,6,191,2016,Michigan,2013,2015,38,666,1080,414,61.7,7836,54,27,5,2.5,134.1,7.3,7.13,11.8,206.2,QB,"Iowa,Michigan"
211,John Reaves,54,PHI,1,14,1972,Florida,1969,1971,32,603,1128,525,53.5,7549,54,59,4.8,5.2,115,6.7,5.3,12.5,235.9,QB,Florida
212,Mike Pagel,54,CLT,4,84,1982,Arizona State,1978,1981,41,405,786,381,51.5,5196,54,31,6.9,3.9,121.8,6.6,6.21,12.8,126.7,QB,Arizona State
213,Norm Snead,54,BUF,5,33,1961,Wake Forest,1958,1960,60,544,1202,658,45.3,8080,54,94,4.5,7.8,100.9,6.7,4.1,14.9,134.7,QB,Wake Forest
214,Troy Smith,54,RAV,5,174,2007,Ohio State,2003,2006,43,420,670,250,62.7,5720,54,13,8.1,1.9,157.1,8.5,9.28,13.6,133,QB,Ohio State
215,Charlie Batch,53,DET,2,60,1998,Eastern Michigan,1994,1997,32,579,998,419,58,7592,53,31,5.3,3.1,133.2,7.6,7.27,13.1,237.3,QB,Eastern Michigan
216,Cody Pickett,53,SFO,7,217,2004,Washington,1999,2003,38,792,1373,581,57.7,9916,53,42,3.9,3.1,125,7.2,6.62,12.5,260.9,QB,Washington
217,Jack Thompson,53,CIN,1,3,1979,Washington State,1975,1978,44,601,1086,485,55.3,7818,53,49,4.9,4.5,122.9,7.2,6.14,13,177.7,QB,Washington State
218,Jake Locker,53,OTI,1,8,2011,Washington,2007,2010,40,619,1147,528,54,7639,53,35,4.6,3.1,119.1,6.7,6.21,12.3,191,QB,Washington
219,Joshua Dobbs,53,PIT,4,135,2017,Tennessee,2013,2016,37,614,999,385,61.5,7138,53,29,5.3,2.9,133.2,7.1,6.9,11.6,192.9,QB,Tennessee
220,Marc Bulger,53,NOR,6,168,2000,West Virginia,1996,1999,36,571,933,362,61.2,7371,53,31,5.7,3.3,139.7,7.9,7.54,12.9,204.8,QB,West Virginia
221,Matt Jones,53,JAX,1,21,2005,Arkansas,2001,2004,46,417,755,338,55.2,5857,53,30,7,4,135.6,7.8,7.37,14,127.3,QB,Arkansas
222,Pat Sullivan,53,ATL,2,40,1972,Auburn,1969,1971,30,452,819,367,55.2,6284,53,39,6.5,4.8,131.5,7.7,6.82,13.9,209.5,QB,Auburn
223,B.J. Daniels,52,SFO,7,237,2013,South Florida,2008,2012,47,649,1132,483,57.3,8433,52,39,4.6,3.4,128.2,7.4,6.82,13,179.4,QB,South Florida
224,Braxton Miller,52,HTX,3,85,2016,Ohio State,2011,2015,50,396,667,271,59.4,5295,52,17,7.8,2.5,146.7,7.9,8.35,13.4,105.9,QB,Ohio State
225,Brett Favre,52,ATL,2,33,1991,Southern Mississippi,1987,1990,44,613,1169,556,52.4,7695,52,34,4.4,2.9,116.6,6.6,6.16,12.6,174.9,QB,Southern Mississippi
226,Daniel Jones,52,NYG,1,6,2019,Duke,2016,2018,36,764,1275,511,59.9,8201,52,29,4.1,2.3,122.9,6.4,6.22,10.7,227.8,QB,Duke
227,Erik Wilhelm,52,CIN,3,83,1989,Oregon State,1985,1988,44,870,1480,610,58.8,9393,52,61,3.5,4.1,115.4,6.3,5.19,10.8,213.5,QB,Oregon State
228,Gary Huff,52,CHI,2,33,1973,Florida State,1970,1972,33,436,793,357,55,6378,52,42,6.6,5.3,133.6,8,6.97,14.6,193.3,QB,Florida State
229,JaMarcus Russell,52,RAI,1,1,2007,LSU,2004,2006,36,493,797,304,61.9,6625,52,21,6.5,2.6,147.9,8.3,8.43,13.4,184,QB,LSU
230,Jaren Hall,52,MIN,5,164,2023,BYU,2018,2022,31,468,718,250,65.2,6174,52,11,7.2,1.5,158.2,8.6,9.36,13.2,199.2,QB,BYU
231,Jim Plunkett,52,NWE,1,1,1971,Stanford,1968,1970,31,530,962,432,55.1,7544,52,47,5.4,4.9,129,7.8,6.72,14.2,243.4,QB,Stanford
232,Joe Germaine,52,RAM,4,101,1999,Ohio State,1996,1998,34,399,660,261,60.5,5844,52,18,7.9,2.7,155.4,8.9,9.2,14.6,171.9,QB,Ohio State
