,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
2601,Eddie Lee Ivery,406,GNB,1,15,1979,Georgia Tech,1975,1978,44,27,406,15,2,9.2,RB,Georgia Tech
2602,Ray Butler,406,CLT,4,88,1980,USC,1978,1979,23,28,406,14.5,0,17.7,WR,USC
2603,Bob Davis,405,OTI,2,30,1967,Virginia,1964,1966,30,29,405,14,3,13.5,QB,Virginia
2604,Bryan Fletcher,405,CHI,6,210,2002,UCLA,1998,2001,42,29,405,14,3,9.6,TE,UCLA
2605,Dion Lewis,405,PHI,5,149,2011,Pitt,2009,2010,25,52,405,7.8,1,16.2,RB,Pitt
2606,Jeff West,405,CIN,5,122,1975,Cincinnati,1972,1974,33,30,405,13.5,3,12.3,TE,Cincinnati
2607,Jerald Moore,405,RAM,3,83,1996,Oklahoma,1993,1995,27,35,405,11.6,2,15,RB,Oklahoma
2608,Le'Ron McClain,405,RAV,4,137,2007,Alabama,2003,2006,48,48,405,8.4,8,8.4,RB,Alabama
2609,Louis Carter,405,RAI,3,76,1975,Maryland,1972,1974,33,46,405,8.8,2,12.3,RB,Maryland
2610,Montario Hardesty,405,CLE,2,59,2010,Tennessee,2005,2009,49,38,405,10.7,1,8.3,RB,Tennessee
2611,Tommy Bohanon,405,NYJ,7,215,2013,Wake Forest,2009,2012,49,51,405,7.9,7,8.3,RB,Wake Forest
2612,Travis Homer,405,SEA,6,204,2019,Miami (FL),2016,2018,38,37,405,10.9,1,10.7,RB,Miami (FL)
2613,Ian Thomas,404,CAR,4,101,2018,Indiana,2016,2017,23,28,404,14.4,5,17.6,TE,Indiana
2614,Mel Farr,404,DET,1,7,1967,UCLA,1964,1966,30,22,404,18.4,2,13.5,RB,UCLA
2615,Paul White,404,CRD,9,214,1970,UTEP,1967,1969,28,29,404,13.9,4,14.4,RB,UTEP
2616,Spencer Ware,404,SEA,6,194,2013,LSU,2010,2012,36,39,404,10.4,2,11.2,RB,LSU
2617,Tony Dorsett,404,DAL,1,2,1977,Pitt,1973,1976,44,38,404,10.6,4,9.2,RB,Pitt
2618,Vince Williams,404,SFO,6,151,1982,Oregon,1977,1981,55,34,404,11.9,0,7.3,RB,Oregon
