,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
801,Todd Dillon,30,1982,1983,23,498,883,385,56.4,5704,30,30,3.4,3.4,115.1,6.5,5.61,11.5,248,QB,Long Beach State
802,Tyler Vitt,30,2018,2021,31,413,686,273,60.2,4483,30,32,4.4,4.7,120.2,6.5,5.31,10.9,144.6,QB,Texas State
803,Alfred Jenkins,29,1983,1986,37,431,834,403,51.7,5696,29,36,3.5,4.3,111.9,6.8,5.58,13.2,153.9,QB,Arizona
804,Austin Appleby,29,2013,2016,25,395,694,299,56.9,4224,29,26,4.2,3.7,114.3,6.1,5.24,10.7,169,QB,"Florida,Purdue"
805,Bill Byrne,29,1984,1986,33,381,711,330,53.6,4582,29,32,4.1,4.5,112.2,6.4,5.23,12,138.8,QB,Navy
806,Bill Montgomery,29,1968,1970,31,337,602,265,56,4590,29,24,4.8,4,128,7.6,6.79,13.6,148.1,QB,Arkansas
807,Bill Whittemore,29,2002,2003,19,310,568,258,54.6,4051,29,12,5.1,2.1,127.1,7.1,7.2,13.1,213.2,QB,Kansas
808,Brady McBride,29,2018,2022,22,329,542,213,60.7,3558,29,18,5.4,3.3,126.9,6.6,6.14,10.8,161.7,QB,"Appalachian State,Memphis,Texas State"
809,Butchie Washington,29,1999,2000,22,274,523,249,52.4,4215,29,20,5.5,3.8,130.7,8.1,7.45,15.4,191.6,QB,Akron
810,Cade Klubnik,29,2022,2024,26,409,633,224,64.6,4270,29,13,4.6,2.1,132.3,6.7,6.74,10.4,164.2,QB,Clemson
811,Chris Nickson,29,2005,2008,37,284,541,257,52.5,3406,29,21,5.4,3.9,115.3,6.3,5.62,12,92.1,QB,Vanderbilt
812,Cody Green,29,2009,2013,39,411,752,341,54.7,4588,29,22,3.9,2.9,112.8,6.1,5.56,11.2,117.6,QB,"Nebraska,Tulsa"
813,Collin Hill,29,2016,2020,26,390,648,258,60.2,4734,29,17,4.5,2.6,131.1,7.3,7.02,12.1,182.1,QB,"Colorado State,South Carolina"
814,Corey Bramlet,29,2002,2005,29,417,707,290,59,5149,29,31,4.1,4.4,124.9,7.3,6.13,12.3,177.6,QB,Wyoming
815,Dan Kendra,29,1974,1977,44,336,644,308,52.2,4579,29,47,4.5,7.3,112.2,7.1,4.73,13.6,104.1,QB,West Virginia
816,David Priestley,29,1999,2001,28,314,541,227,58,4262,29,15,5.4,2.8,136.4,7.9,7.7,13.6,152.2,QB,Pitt
817,Dennis Dummit,29,1969,1970,21,289,552,263,52.4,4355,29,29,5.3,5.3,125.5,7.9,6.58,15.1,207.4,QB,UCLA
818,Desmond Trotter,29,2019,2023,33,321,510,189,62.9,3828,29,11,5.7,2.2,140.4,7.5,7.67,11.9,116,QB,South Alabama
819,Dustin Grutza,29,2005,2008,30,388,646,258,60.1,4476,29,25,4.5,3.9,125.3,6.9,6.09,11.5,149.2,QB,Cincinnati
820,Elijah Sindelar,29,2016,2019,24,299,517,218,57.8,3525,29,16,5.6,3.1,127.4,6.8,6.55,11.8,146.9,QB,Purdue
821,Eric Crouch,29,1998,2001,43,312,606,294,51.5,4481,29,25,4.8,4.1,121.1,7.4,6.5,14.4,104.2,QB,Nebraska
822,Hutson Mason,29,2010,2014,25,282,434,152,65,3492,29,7,6.7,1.6,151.4,8,8.66,12.4,139.7,QB,Georgia
823,Jeff Van Camp,29,2007,2010,29,311,544,233,57.2,3905,29,16,5.3,2.9,129.2,7.2,6.92,12.6,134.7,QB,Florida Atlantic
824,Jerod Evans,29,2016,2016,14,268,422,154,63.5,3552,29,8,6.9,1.9,153.1,8.4,8.94,13.3,253.7,QB,Virginia Tech
825,Jim Jones,29,1969,1971,32,288,588,300,49,3974,29,25,4.9,4.3,113.5,6.8,5.83,13.8,124.2,QB,USC
