,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1201,David Patterson,1636,1995,1998,42,94,1636,17.4,14,39,WR,New Mexico State
1202,Vince Sanders,1635,2011,2014,42,109,1635,15,11,38.9,WR,Ole Miss
1203,Ed Puishes,1634,1969,1971,31,138,1634,11.8,8,52.7,WR,UTEP
1204,Dontario Drummond,1633,2019,2021,34,114,1633,14.3,15,48,WR,Ole Miss
1205,Greg Lester,1633,1987,1991,41,93,1633,17.6,13,39.8,WR,Georgia Tech
1206,Bill Buckley,1632,1971,1973,33,102,1632,16,14,49.5,RB,Mississippi State
1207,Casey Robottom,1632,2007,2010,46,133,1632,12.3,7,35.5,WR,Tulane
1208,Jared Brown,1632,2021,2024,30,115,1632,14.2,11,54.4,WR,"Coastal Carolina,South Carolina"
1209,Orlando Winston,1632,2001,2003,34,122,1632,13.4,8,48,WR,Idaho
1210,Sean Dillard,1632,1999,2002,37,130,1632,12.6,7,44.1,WR,Temple
1211,Justin McInnis,1631,2016,2018,38,120,1631,13.6,10,42.9,WR,Arkansas State
1212,Kerry Thomas,1630,2014,2017,46,127,1630,12.8,17,35.4,WR,UTSA
1213,Steve Watson,1629,1975,1978,39,98,1629,16.6,7,41.8,WR,Temple
1214,D.J. Thompson,1628,2012,2016,46,131,1628,12.4,12,35.4,WR,Southern Mississippi
1215,Mario Williams,1628,2021,2024,40,122,1628,13.3,11,40.7,WR,"Oklahoma,Tulane,USC"
1216,Ron Peters,1628,1991,1994,39,100,1628,16.3,15,41.7,WR,Houston
1217,Brock Kreitzburg,1627,1995,1998,45,130,1627,12.5,11,36.2,WR,Toledo
1218,Dwayne McMullen,1627,1982,1984,33,95,1627,17.1,15,49.3,WR,Minnesota
1219,J.J. Rowlett,1627,1991,1994,46,102,1627,16,6,35.4,WR,UTEP
1220,Chris Daniels,1626,1996,1999,45,151,1626,10.8,11,36.1,WR,Purdue
1221,Jamir Tillman,1626,2013,2016,42,91,1626,17.9,10,38.7,WR,Navy
1222,Levi Norwood,1626,2011,2014,49,128,1626,12.7,11,33.2,WR,Baylor
1223,Easop Winston,1624,2018,2019,26,137,1624,11.9,19,62.5,WR,Washington State
1224,Justin Johnson,1624,2008,2011,53,120,1624,13.5,15,30.6,RB,Houston
1225,Steve Savoy,1624,2003,2004,24,107,1624,15.2,18,67.7,WR,Utah
1226,Curry Sexton,1623,2011,2014,48,129,1623,12.6,6,33.8,WR,Kansas State
1227,Sam Crawford Jr.,1623,2018,2021,41,114,1623,14.2,10,39.6,WR,Tulsa
1228,Lil'Jordan Humphrey,1622,2016,2018,36,125,1622,13,10,45.1,WR,Texas
1229,Tremayne Banks,1622,1993,1996,44,118,1622,13.7,10,36.9,WR,Miami (OH)
1230,Bob Longo,1621,1965,1967,30,106,1621,15.3,8,54,WR,Pitt
1231,Richard Woodley,1620,1990,1993,37,134,1620,12.1,7,43.8,WR,Texas Christian
