,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
401,Browning Nagle,32,NYJ,2,34,1991,Louisville,1988,1990,33,333,598,265,55.7,4653,32,21,5.4,3.5,131.7,7.8,7.27,14,141,QB,Louisville
402,Chris Chandler,32,CLT,3,76,1988,Washington,1984,1987,29,326,597,271,54.6,4161,32,27,5.4,4.5,121.8,7,6.01,12.8,143.5,QB,Washington
403,Gus Frerotte,32,WAS,7,197,1994,Tulsa,1990,1993,42,432,860,428,50.2,5480,32,38,3.7,4.4,107.2,6.4,5.13,12.7,130.5,QB,Tulsa
404,Jeff George,32,CLT,1,1,1990,Illinois,1986,1989,33,550,941,391,58.4,5891,32,34,3.4,3.6,115,6.3,5.31,10.7,178.5,QB,"Illinois,Purdue"
405,Jerry Tagge,32,GNB,1,11,1972,Nebraska,1969,1971,33,348,581,233,59.9,4704,32,19,5.5,3.3,139.5,8.1,7.73,13.5,142.5,QB,Nebraska
406,Tee Martin,32,PIT,5,163,2000,Tennessee,1996,1999,38,326,588,262,55.4,4592,32,16,5.4,2.7,133.6,7.8,7.67,14.1,120.8,QB,Tennessee
407,Archie Manning,31,NOR,1,2,1971,Ole Miss,1968,1970,28,402,761,359,52.8,4753,31,40,4.1,5.3,108.2,6.2,4.7,11.8,169.8,QB,Ole Miss
408,Cary Conklin,31,WAS,4,86,1990,Washington,1986,1989,31,401,747,346,53.7,4850,31,36,4.1,4.8,112.3,6.5,5.15,12.1,156.5,QB,Washington
409,Charley Johnson,31,SDG,8,64,1961,New Mexico State,1959,1960,20,214,398,184,53.8,2960,31,6,7.8,1.5,138.9,7.4,8.32,13.8,148,QB,New Mexico State
410,Don Smith,31,TAM,2,51,1987,Mississippi State,1983,1986,44,342,738,396,46.3,5229,31,34,4.2,4.6,110.5,7.1,5.85,15.3,118.8,QB,Mississippi State
