,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1801,Lee Jones,1570,1965,1967,30,414,1570,3.8,29,52.3,RB,Buffalo
1802,Anthony Turner,1569,2005,2008,42,389,1569,4,22,37.4,QB,Bowling Green
1803,Darryl McGill,1569,1984,1987,44,344,1569,4.6,13,35.7,RB,Wake Forest
1804,Calvin Culliver,1568,1973,1976,44,290,1568,5.4,16,35.6,RB,Alabama
1805,Corey Leonard,1568,2006,2009,44,516,1568,3,11,35.6,QB,Arkansas State
1806,Xavier Williams,1568,2018,2023,43,283,1568,5.5,11,36.5,RB,Kent State
1807,David Sloan,1567,1974,1976,33,360,1567,4.4,8,47.5,RB,Virginia
1808,Dwayne Harris,1567,1995,1998,30,323,1567,4.9,11,52.2,RB,Toledo
1809,Tyler King,1566,2017,2019,21,281,1566,5.6,11,74.6,RB,Marshall
1810,Bobby Isom,1565,1975,1977,25,406,1565,3.9,10,62.6,RB,Princeton
1811,George Uremovich,1565,1971,1973,33,385,1565,4.1,12,47.4,RB,Illinois
1812,Valasco Smith,1565,1985,1986,19,303,1565,5.2,13,82.4,RB,Wichita State
1813,Ward Walsh,1565,1968,1970,30,334,1565,4.7,8,52.2,RB,Colorado
1814,Darryl Bowles,1564,1979,1982,44,375,1564,4.2,13,35.5,RB,Arkansas
1815,Kam Martin,1564,2016,2019,47,282,1564,5.5,8,33.3,RB,Auburn
1816,Tom Campbell,1564,1958,1961,39,337,1564,4.6,13,40.1,RB,Furman
1817,Marcus Fields,1563,1997,2001,42,365,1563,4.3,10,37.2,RB,California
1818,Anthony Wallace,1562,1989,1990,22,370,1562,4.2,7,71,RB,California
1819,Damon Benning,1562,1993,1996,42,270,1562,5.8,20,37.2,RB,Nebraska
1820,Leo Taylor,1562,1968,1969,20,396,1562,3.9,14,78.1,RB,North Texas
1821,Micah Andrews,1561,2004,2007,35,327,1561,4.8,12,44.6,RB,Wake Forest
1822,Terry Strong,1561,1987,1990,44,362,1561,4.3,8,35.5,RB,Cincinnati
1823,Jamyest Williams,1559,2017,2022,52,260,1559,6,11,30,DB,"Georgia State,South Carolina"
1824,Alex Fontenot,1558,2018,2022,40,357,1558,4.4,13,39,RB,Colorado
1825,Bobby Johnson,1558,1982,1983,22,356,1558,4.4,5,70.8,RB,San Jose State
1826,Fred Doelling,1558,1957,1959,27,308,1558,5.1,11,57.7,RB,Pennsylvania
1827,Trelon Smith,1558,2017,2022,43,319,1558,4.9,12,36.2,RB,"Arizona State,Arkansas,UTSA"
1828,Dennis Thomas,1557,1998,2001,42,379,1557,4.1,5,37.1,RB,Rutgers
1829,Kinsmon Lancaster,1557,2005,2008,46,405,1557,3.8,11,33.8,QB,Louisiana-Monroe
1830,Avery Morrow,1555,2020,2024,44,308,1555,5,11,35.3,RB,"Colorado State,Nevada"
1831,Charles Thompson,1555,1987,1988,22,250,1555,6.2,18,70.7,QB,Oklahoma
1832,Letavious Wilks,1555,1996,1999,42,399,1555,3.9,12,37,RB,Duke
1833,Miyan Williams,1555,2020,2023,31,258,1555,6,20,50.2,RB,Ohio State
1834,Paul Choquette,1555,1957,1959,27,392,1555,4,8,57.6,RB,Brown
1835,Anthony Thornton,1554,1987,1990,43,514,1554,3,14,36.1,QB,Ohio
