,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1601,Joe Dawkins,798,OTI,10,249,1970,Wisconsin,1968,1969,20,188,798,4.2,1,39.9,RB,Wisconsin
1602,Ben Hawkins,796,NYJ,5,38,1966,Arizona State,1963,1965,58,186,796,4.3,2,13.7,RB,Arizona State
1603,Don Meredith,796,KAN,,,1960,SMU,1957,1959,60,532,796,1.5,28,13.3,QB,SMU
1604,Keilan Robinson,796,JAX,5,167,2024,Texas,2019,2023,45,121,796,6.6,8,17.7,RB,"Alabama,Texas"
1605,Isaiah Stanback,794,DAL,4,103,2007,Washington,2003,2006,36,234,794,3.4,11,22.1,QB,Washington
1606,Donald Hollas,793,CIN,4,99,1991,Rice,1987,1990,42,235,793,3.4,19,18.9,DB,Rice
1607,Elton Veals,792,PIT,11,303,1984,Tulane,1982,1983,22,190,792,4.2,6,36,RB,Tulane
1608,Chris Roberson,790,JAX,7,237,2005,Eastern Michigan,2001,2004,46,176,790,4.5,3,17.2,RB,Eastern Michigan
1609,Dale Evans,790,DEN,6,43,1961,Kansas State,1958,1960,60,220,790,3.6,0,13.2,RB,Kansas State
1610,Sammy Morris,788,BUF,5,156,2000,Texas Tech,1996,1999,20,169,788,4.7,7,39.4,RB,Texas Tech
1611,Rocky Bleier,786,PIT,16,417,1968,Notre Dame,1965,1967,29,166,786,4.7,11,27.1,RB,Notre Dame
1612,Carl Summerell,785,NYG,4,80,1974,East Carolina,1971,1973,32,219,785,3.6,10,24.5,QB,East Carolina
1613,Jim Mankins,781,GNB,12,184,1966,Florida State,1965,1966,20,201,781,3.9,9,39.1,RB,Florida State
1614,Morris LaGrand,777,KAN,6,137,1975,Tampa,1971,1973,33,167,777,4.7,9,23.5,RB,Tampa
1615,Ron Gardin,776,CLT,6,148,1970,Arizona,1968,1969,20,191,776,4.1,7,38.8,WR,Arizona
1616,Trindon Holliday,776,HTX,6,197,2010,LSU,2006,2009,51,115,776,6.7,4,15.2,RB,LSU
1617,C.R. Roberts,775,NYG,14,166,1958,USC,1956,1956,10,120,775,6.5,5,77.5,RB,USC
1618,Cliff Taylor,771,CHI,3,62,1974,Memphis,1971,1973,32,196,771,3.9,11,24.1,RB,Memphis
1619,Dick Gordon,771,CHI,7,88,1965,Michigan State,1963,1964,18,131,771,5.9,1,42.8,RB,Michigan State
1620,Doyle Schick,770,WAS,14,185,1961,Kansas,1958,1960,30,193,770,4,3,25.7,RB,Kansas
1621,Ray Nitschke,769,GNB,3,36,1958,Illinois,1956,1957,18,127,769,6.1,0,42.7,RB,Illinois
1622,Dick Hoak,767,PIT,7,90,1961,Penn State,1958,1960,29,177,767,4.3,8,26.4,RB,Penn State
1623,Josh Allen,767,BUF,1,7,2018,Wyoming,2015,2017,27,237,767,3.2,12,28.4,QB,Wyoming
1624,George Blair,766,SDG,,,1960,Ole Miss,1959,1960,40,160,766,4.8,4,19.2,RB,Ole Miss
1625,Larry Walton,766,DET,3,59,1969,Arizona State,1967,1968,20,187,766,4.1,11,38.3,RB,Arizona State
1626,Mike Meade,766,GNB,5,126,1982,Penn State,1978,1981,34,169,766,4.5,6,22.5,RB,Penn State
1627,Carroll Zaruba,759,KAN,,,1960,Nebraska,1957,1959,30,161,759,4.7,0,25.3,RB,Nebraska
1628,Bobby Joe Edmonds,755,SEA,5,126,1986,Arkansas,1982,1985,44,183,755,4.1,3,17.2,WR,Arkansas
1629,Kevin Kolb,751,PHI,2,36,2007,Houston,2003,2006,50,472,751,1.6,21,15,QB,Houston
1630,Ron Brown,751,NYG,6,139,1986,Colorado,1981,1985,41,135,751,5.6,2,18.3,RB,Colorado
1631,Robert Delpino,750,RAM,5,117,1988,Missouri,1986,1987,22,115,750,6.5,9,34.1,WR,Missouri
1632,William Henderson,750,GNB,3,66,1995,North Carolina,1991,1994,45,145,750,5.2,8,16.7,RB,North Carolina
1633,Ed Sutton,748,WAS,3,33,1957,North Carolina,1956,1956,10,120,748,6.2,5,74.8,RB,North Carolina
1634,Johnny Rodgers,745,SDG,1,25,1973,Nebraska,1970,1972,34,130,745,5.7,11,21.9,WR,Nebraska
1635,Vai Sikahema,745,CRD,10,254,1986,BYU,1980,1985,49,112,745,6.7,11,15.2,RB,BYU
1636,Kene Nwangwu,744,MIN,4,119,2021,Iowa State,2016,2020,50,143,744,5.2,4,14.9,RB,Iowa State
1637,Marvin Allen,742,NWE,11,294,1988,Tulane,1986,1987,22,134,742,5.5,13,33.7,RB,Tulane
1638,Will Levis,742,OTI,2,33,2023,Kentucky,2019,2022,39,312,742,2.4,17,19,QB,"Kentucky,Penn State"
1639,Doug Flutie,739,RAM,11,285,1985,Boston College,1981,1984,44,287,739,2.6,7,16.8,QB,Boston College
1640,Jalston Fowler,738,OTI,4,108,2015,Alabama,2010,2014,49,113,738,6.5,5,15.1,LB,Alabama
1641,Ken Graham,738,SDG,13,104,1964,Washington State,1961,1963,60,194,738,3.8,2,12.3,RB,Washington State
1642,Verron Haynes,738,PIT,5,166,2002,Georgia,1999,2001,31,137,738,5.4,8,23.8,RB,Georgia
1643,Nate Ramsey,737,PHI,14,186,1963,,1960,1962,27,169,737,4.4,0,27.3,RB,Indiana
1644,Bobby Brezina,731,GNB,20,280,1963,Houston,1960,1962,30,169,731,4.3,6,24.4,RB,Houston
1645,Don Majkowski,731,GNB,10,255,1987,Virginia,1983,1986,33,245,731,3,12,22.2,QB,Virginia
1646,Ray Rhodes,729,NYG,10,236,1974,Tulsa,1972,1973,22,171,729,4.3,4,33.1,RB,Tulsa
1647,Bobby Gordon,728,CRD,6,63,1958,Tennessee,1956,1957,20,220,728,3.3,7,36.4,RB,Tennessee
1648,Harold Bailey,728,OTI,8,217,1980,Oklahoma State,1976,1979,44,245,728,3,6,16.5,QB,Oklahoma State
1649,Estes Banks,726,RAI,8,188,1967,Colorado,1964,1966,30,230,726,3.2,7,24.2,RB,Colorado
1650,Tom Brown,726,BUF,3,20,1963,Maryland,1960,1962,60,158,726,4.6,2,12.1,RB,Maryland
1651,Don Bosseler,723,WAS,1,9,1957,Miami (FL),1956,1956,10,161,723,4.5,4,72.3,RB,Miami (FL)
1652,Willie Jones,723,MIN,17,225,1961,Purdue,1959,1960,18,164,723,4.4,5,40.2,RB,Purdue
1653,Scott Bull,722,SFO,6,177,1976,Arkansas,1972,1975,33,191,722,3.8,12,21.9,RB,Arkansas
1654,Butch Wilson,720,RAI,6,41,1963,Alabama,1960,1962,60,184,720,3.9,8,12,RB,Alabama
1655,Pete Tatman,720,MIN,10,244,1967,Nebraska,1964,1966,30,181,720,4,11,24,RB,Nebraska
1656,Jon Keyworth,717,WAS,6,144,1974,Colorado,1970,1973,43,138,717,5.2,9,16.7,RB,Colorado
1657,Don Trull,716,OTI,14,111,1963,Baylor,1961,1963,60,416,716,1.7,28,11.9,QB,Baylor
1658,Larry Seiple,715,MIA,7,163,1967,Kentucky,1964,1966,30,191,715,3.7,4,23.8,WR,Kentucky
1659,Dave Juenger,711,CHI,14,345,1973,Ohio,1970,1972,30,286,711,2.5,12,23.7,WR,Ohio
1660,Dick Haley,708,WAS,9,100,1959,Pitt,1956,1958,30,210,708,3.4,5,23.6,RB,Pitt
1661,Cory Schlesinger,706,DET,6,192,1995,Nebraska,1992,1994,34,127,706,5.6,6,20.8,RB,Nebraska
1662,Daryle Lamonica,704,BUF,24,188,1963,Notre Dame,1960,1962,60,286,704,2.5,20,11.7,QB,Notre Dame
1663,Eugene McCaslin,704,GNB,7,249,2000,Florida,1996,1998,25,134,704,5.3,6,28.2,RB,Florida
1664,Kealoha Pilares,701,CAR,5,132,2011,Hawaii,2007,2010,47,125,701,5.6,8,14.9,RB,Hawaii
1665,Kantroy Barber,699,NWE,4,124,1996,West Virginia,1994,1995,22,165,699,4.2,9,31.8,RB,West Virginia
1666,Marsh White,694,NYG,12,287,1975,Arkansas,1972,1974,33,156,694,4.4,3,21,RB,Arkansas
