,,,,,,,,,,,Rushing,,,,,,
1667,Rick Mirer,694,SEA,1,2,1993,Notre Dame,1989,1992,46,253,694,2.7,17,15.1,QB,Notre Dame
1668,Larry Moriarty,692,OTI,5,114,1983,Notre Dame,1980,1982,29,111,692,6.2,6,23.9,RB,Notre Dame
1669,Sam Rogers,692,RAM,6,206,2017,Virginia Tech,2013,2016,51,165,692,4.2,4,13.6,FB,Virginia Tech
1670,Wan'Dale Robinson,691,NYG,2,43,2022,Kentucky,2019,2021,31,141,691,4.9,4,22.3,WR,"Kentucky,Nebraska"
1671,Paxton Lynch,687,DEN,1,26,2016,Memphis,2013,2015,38,288,687,2.4,17,18.1,QB,Memphis
1672,Rodney Tate,685,CIN,4,110,1982,Texas,1978,1981,24,148,685,4.6,8,28.5,RB,Texas
1673,Larry Brown,684,WAS,8,191,1969,Kansas State,1967,1968,20,161,684,4.2,2,34.2,RB,Kansas State
1674,Jacque MacKinnon,681,SDG,33,264,1962,Colgate,1959,1960,18,130,681,5.2,3,37.8,RB,Colgate
1675,Joel Wells,678,GNB,2,18,1957,Clemson,1956,1956,10,156,678,4.3,6,67.8,RB,Clemson
1676,John McGeever,678,DEN,7,50,1962,Auburn,1959,1961,60,164,678,4.1,8,11.3,RB,Auburn
1677,Mark Brunell,678,GNB,5,118,1993,Washington,1989,1992,33,190,678,3.6,19,20.5,QB,Washington
1678,Marshall Starks,678,CRD,8,106,1961,Illinois,1958,1960,27,170,678,4,0,25.1,RB,Illinois
1679,Bob Thornbladh,677,KAN,11,275,1974,Michigan,1971,1973,33,163,677,4.2,11,20.5,RB,Michigan
1680,John Sodaski,677,PIT,9,212,1969,Villanova,1966,1968,29,210,677,3.2,11,23.3,QB,Villanova
1681,Ron Rector,677,GNB,9,138,1966,Northwestern,1964,1965,19,158,677,4.3,7,35.6,RB,Northwestern
1682,Walt Kowalczyk,673,PHI,1,6,1958,Michigan State,1956,1957,18,143,673,4.7,10,37.4,RB,Michigan State
1683,David Francis,668,WAS,7,91,1963,Ohio State,1960,1962,19,133,668,5,7,35.2,RB,Ohio State
1684,Jeremy Maclin,668,PHI,1,19,2009,Missouri,2007,2008,28,91,668,7.3,6,23.9,WR,Missouri
1685,John Hufnagel,667,DEN,14,348,1973,Penn State,1970,1972,32,224,667,3,13,20.8,QB,Penn State
1686,Tim Jessie,667,CHI,11,305,1987,Auburn,1982,1986,45,148,667,4.5,8,14.8,RB,Auburn
1687,Jim Swink,665,CHI,2,25,1957,Texas Christian,1956,1956,10,157,665,4.2,4,66.5,RB,Texas Christian
1688,Zac Dysert,665,DEN,7,234,2013,Miami (OH),2009,2012,46,461,665,1.4,12,14.5,QB,Miami (OH)
1689,Al Snyder,664,NWE,23,183,1963,Holy Cross,1960,1962,30,155,664,4.3,4,22.1,RB,Holy Cross
1690,Jon Henderson,664,PIT,3,61,1968,Colorado State,1965,1967,30,138,664,4.8,5,22.1,QB,Colorado State
1691,Jeff Powell,663,CHI,6,166,1986,Tennessee,1981,1985,22,180,663,3.7,4,30.1,RB,"Tennessee,William & Mary"
1692,Andy Russell,662,PIT,16,220,1963,Missouri,1960,1962,30,172,662,3.8,2,22.1,RB,Missouri
1693,Frank Jackson,662,KAN,19,149,1961,SMU,1958,1960,30,138,662,4.8,2,22.1,RB,SMU
1694,Joe Milton,661,NWE,6,193,2024,Tennessee,2018,2023,43,174,661,3.8,12,15.4,QB,"Michigan,Tennessee"
1695,Larry Wilson,661,BUF,,,1960,Utah,1957,1958,21,132,661,5,3,31.5,RB,Utah
1696,Ray Brown,661,CLT,5,50,1958,Ole Miss,1956,1957,20,152,661,4.3,14,33.1,QB,Ole Miss
1697,Charlie Smith,660,RAI,4,110,1968,Utah,1966,1967,21,180,660,3.7,4,31.4,RB,Utah
1698,Sage Rosenfels,660,WAS,4,109,2001,Iowa State,1997,2000,30,164,660,4,14,22,QB,Iowa State
1699,Omar Easy,659,KAN,4,107,2002,Penn State,1998,2001,41,155,659,4.3,5,16.1,RB,Penn State
1700,Tom Stephens,657,CLT,11,132,1959,Syracuse,1956,1958,26,148,657,4.4,9,25.3,RB,Syracuse
1701,Maury Damkroger,656,NWE,7,178,1974,Nebraska,1971,1973,34,155,656,4.2,1,19.3,RB,Nebraska
1702,Terry LeCount,655,SFO,4,91,1978,Florida,1975,1977,33,138,655,4.7,3,19.8,WR,Florida
1703,Pete Liske,654,NYJ,15,115,1963,Penn State,1961,1963,60,262,654,2.5,10,10.9,QB,Penn State
1704,Mohamed Sanu,653,CIN,3,83,2012,Rutgers,2009,2011,38,125,653,5.2,9,17.2,WR,Rutgers
1705,Roman Gabriel,652,RAI,1,1,1962,North Carolina State,1959,1961,60,498,652,1.3,30,10.9,QB,North Carolina State
1706,Mel Farr,651,DEN,9,248,1988,UCLA,1984,1987,44,148,651,4.4,4,14.8,RB,UCLA
1707,Taz Anderson,648,KAN,,,1960,Georgia Tech,1957,1960,60,182,648,3.6,2,10.8,RB,Georgia Tech
1708,Thomas Henley,645,NOR,6,152,1987,Stanford,1983,1986,44,176,645,3.7,5,14.7,RB,Stanford
1709,Mike Johnson,644,RAI,14,125,1966,Kansas,1963,1965,30,160,644,4,2,21.5,RB,Kansas
1710,Zephrini Lee,644,RAI,9,246,1986,USC,1981,1985,55,109,644,5.9,2,11.7,RB,USC
1711,Bobby Morse,643,PHI,12,316,1987,Michigan State,1983,1986,43,159,643,4,9,15,RB,Michigan State
1712,Bill Tobin,642,SFO,14,189,1963,Missouri,1960,1962,30,177,642,3.6,3,21.4,RB,Missouri
1713,Tommy Minter,642,SDG,9,72,1962,Baylor,1959,1961,60,202,642,3.2,2,10.7,RB,Baylor
1714,Zach Wilson,642,NYJ,1,2,2021,BYU,2018,2020,30,212,642,3,15,21.4,QB,BYU
1715,Mike Sommer,641,WAS,2,16,1958,George Washington,1956,1957,18,168,641,3.8,4,35.6,RB,George Washington
1716,Don Ellersick,640,NYJ,,,1960,Washington State,1957,1959,60,132,640,4.8,0,10.7,RB,Washington State
1717,William Floyd,640,SFO,1,28,1994,Florida State,1991,1993,35,147,640,4.4,16,18.3,RB,Florida State
1718,Deon Dyer,639,MIA,4,117,2000,North Carolina,1996,1999,44,186,639,3.4,9,14.5,RB,North Carolina
1719,Gene Donaldson,639,WAS,11,143,1964,Purdue,1961,1963,27,165,639,3.9,4,23.7,RB,Purdue
1720,Lawrence Vickers,635,CLE,6,180,2006,Colorado,2002,2005,48,171,635,3.7,12,13.2,RB,Colorado
1721,Clarence Chapman,634,RAI,7,204,1976,Eastern Michigan,1975,1975,10,119,634,5.3,5,63.4,RB,Eastern Michigan
1722,Dana Brinson,634,SDG,8,204,1989,Nebraska,1985,1988,38,92,634,6.9,2,16.7,WR,Nebraska
1723,Billy Lott,632,RAI,,,1960,Ole Miss,1956,1957,20,110,632,5.7,5,31.6,RB,Ole Miss
1724,J.J. McCarthy,632,MIN,1,10,2024,Michigan,2021,2023,40,161,632,3.9,10,15.8,QB,Michigan
1725,Blake Bell,631,SFO,4,117,2015,Oklahoma,2011,2014,43,181,631,3.5,24,14.7,QB,Oklahoma
1726,Markus Wheaton,631,PIT,3,79,2013,Oregon State,2009,2012,49,83,631,7.6,5,12.9,WR,Oregon State
1727,Eddie Hinton,629,CLT,1,25,1969,Oklahoma,1966,1968,30,106,629,5.9,7,21,WR,Oklahoma
1728,Shelly Hammonds,629,MIN,5,134,1994,Penn State,1990,1993,45,102,629,6.2,6,14,RB,Penn State
1729,Rick Trocano,627,PIT,11,292,1981,Pitt,1977,1980,44,307,627,2,16,14.3,QB,Pitt
1730,Brian Baschnagel,626,CHI,3,66,1976,Ohio State,1972,1975,42,81,626,7.7,6,14.9,RB,Ohio State
1731,Don Testerman,626,MIA,10,282,1976,Clemson,1972,1975,33,134,626,4.7,5,19,RB,"Clemson,Virginia Tech"
1732,Heath Evans,626,SEA,3,82,2001,Auburn,1998,2000,28,149,626,4.2,6,22.4,RB,Auburn
1733,Henry Melton,625,CHI,4,105,2009,Texas,2005,2008,49,132,625,4.7,16,12.8,RB,Texas
1734,Jon Arnett,625,RAM,1,2,1957,USC,1956,1956,10,99,625,6.3,6,62.5,RB,USC
1735,Kevin Bell,625,SDG,12,321,1978,Lamar,1976,1977,19,171,625,3.7,3,32.9,RB,Lamar
1736,Dick Hughes,618,PIT,11,127,1957,Tulsa,1956,1956,10,128,618,4.8,4,61.8,RB,Tulsa
1737,Raynard Brown,618,DET,10,259,1987,South Carolina,1983,1986,44,122,618,5.1,8,14,RB,South Carolina
1738,Bill Perkins,617,DAL,12,160,1963,Iowa,1960,1962,27,110,617,5.6,2,22.9,WR,Iowa
1739,Bruce King,617,KAN,5,126,1985,Purdue,1981,1984,44,140,617,4.4,2,14,RB,Purdue
1740,Ron Jessie,616,DAL,8,206,1971,Kansas,1969,1970,21,138,616,4.5,2,29.3,RB,Kansas
1741,Coy Wire,615,BUF,3,97,2002,Stanford,1998,2001,39,173,615,3.6,6,15.8,RB,Stanford
1742,Mike Hull,614,CHI,1,16,1968,USC,1965,1967,30,116,614,5.3,3,20.5,RB,USC
1743,Tee Martin,614,PIT,5,163,2000,Tennessee,1996,1999,38,204,614,3,16,16.2,QB,Tennessee
1744,Doug Elmore,611,SDG,31,248,1962,Ole Miss,1959,1961,30,136,611,4.5,8,20.4,QB,Ole Miss
1745,Steve Engel,610,CLE,5,125,1970,Colorado,1967,1969,30,141,610,4.3,3,20.3,RB,Colorado
1746,James Saxon,609,KAN,6,139,1988,San Jose State,1986,1987,22,119,609,5.1,9,27.7,RB,San Jose State
1747,J.D. Hill,606,BUF,1,4,1971,Arizona State,1967,1970,30,76,606,8,9,20.2,WR,Arizona State
1748,Quincy Carter,606,DAL,2,53,2001,Georgia,1998,2000,29,251,606,2.4,11,20.9,QB,Georgia
1749,Bobby Mitchell,605,CLE,7,84,1958,Illinois,1956,1957,18,135,605,4.5,0,33.6,RB,Illinois
1750,Rickey Patton,604,ATL,10,257,1978,Jackson State,1977,1977,11,114,604,5.3,7,54.9,RB,Jackson State
1751,Irving Fryar,603,NWE,1,1,1984,Nebraska,1980,1983,46,52,603,11.6,5,13.1,RB,Nebraska
1752,Tommy Boutwell,601,CLE,13,332,1969,Southern Mississippi,1967,1968,19,238,601,2.5,12,31.6,QB,Southern Mississippi
1753,Craig Krenzel,600,CHI,5,148,2004,Ohio State,2000,2003,32,247,600,2.4,6,18.8,QB,Ohio State
1754,Darren Studstill,600,DAL,6,191,1994,West Virginia,1990,1993,35,181,600,3.3,6,17.1,QB,West Virginia
1755,Abe Woodson,599,SFO,2,15,1957,Illinois,1956,1956,9,110,599,5.4,0,66.6,RB,Illinois
1756,Cedric Jackson,599,DET,8,205,1991,Texas Christian,1988,1990,24,142,599,4.2,6,25,RB,Texas Christian
1757,Zac Brooks,599,SEA,7,247,2016,Clemson,2012,2015,31,115,599,5.2,5,19.3,RB,Clemson
1758,David Palmer,598,MIN,2,40,1994,Alabama,1991,1993,32,86,598,7,1,18.7,WR,Alabama
1759,Chris Ogbonnaya,597,RAM,7,211,2009,Texas,2005,2008,47,140,597,4.3,8,12.7,RB,Texas
1760,Dave Ragone,597,HTX,3,88,2003,Louisville,1999,2002,41,326,597,1.8,9,14.6,QB,Louisville
1761,Cecil Collins,596,MIA,5,134,1999,,1997,1997,4,72,596,8.3,3,149,RB,LSU
1762,Jimmy Cefalo,596,MIA,3,81,1978,Penn State,1974,1977,41,118,596,5.1,2,14.5,WR,Penn State
1763,Carwell Gardner,595,BUF,2,42,1990,Louisville,1986,1989,22,139,595,4.3,7,27,DL,"Kentucky,Louisville"
1764,Deltha O'Neal,595,DEN,1,15,2000,California,1996,1999,44,119,595,5,1,13.5,RB,California
1765,Derrick Williams,594,DET,3,82,2009,Penn State,2005,2008,46,117,594,5.1,8,12.9,WR,Penn State
1766,Don McCall,593,NOR,5,108,1967,USC,1965,1966,20,143,593,4.1,5,29.7,RB,USC
1767,Keith Lee,592,BUF,5,129,1980,Colorado State,1978,1979,21,263,592,2.3,7,28.2,QB,Colorado State
1768,Brian Dowling,590,MIN,11,277,1969,Yale,1966,1968,27,138,590,4.3,10,21.9,QB,Yale
1769,Gerry Bussell,590,DEN,9,65,1965,Georgia Tech,1962,1964,60,142,590,4.2,2,9.8,RB,Georgia Tech
1770,Scott Burk,590,CIN,9,223,1979,Oklahoma State,1974,1978,44,260,590,2.3,8,13.4,QB,Oklahoma State
1771,Gary McDermott,589,BUF,9,227,1968,Tulsa,1965,1967,30,163,589,3.6,3,19.6,RB,Tulsa
1772,Terry Hanratty,586,PIT,2,30,1969,Notre Dame,1966,1968,29,181,586,3.2,16,20.2,QB,Notre Dame
1773,Frank Harvey,585,CRD,7,204,1994,Georgia,1990,1993,40,128,585,4.6,9,14.6,RB,Georgia
1774,Mike Pritchard,585,ATL,1,13,1991,Colorado,1987,1990,40,55,585,10.6,5,14.6,RB,Colorado
1775,Steve Grogan,585,NWE,5,116,1975,Kansas State,1972,1974,33,339,585,1.7,6,17.7,QB,Kansas State
1776,Kadarius Toney,580,NYG,1,20,2021,Florida,2017,2020,38,66,580,8.8,2,15.3,WR,Florida
1777,Chris Floyd,579,NWE,3,81,1998,Michigan,1994,1997,36,137,579,4.2,2,16.1,RB,Michigan
1778,Cody Glenn,579,WAS,5,158,2009,Nebraska,2005,2008,31,143,579,4,14,18.7,RB,Nebraska
1779,Jerry Tagge,579,GNB,1,11,1972,Nebraska,1969,1971,33,255,579,2.3,15,17.5,QB,Nebraska
1780,Ricardo Louis,578,CLE,4,114,2016,Auburn,2012,2015,50,68,578,8.5,2,11.6,WR,Auburn
1781,Don Westbrook,577,CLT,6,131,1975,Nebraska,1972,1974,33,93,577,6.2,4,17.5,RB,Nebraska
1782,Bob Scarpitto,576,SDG,9,71,1961,Notre Dame,1958,1960,30,138,576,4.2,8,19.2,RB,Notre Dame
1783,Stan Winfrey,574,MIA,2,49,1975,Arkansas State,1974,1974,10,150,574,3.8,11,57.4,RB,Arkansas State
1784,Phil Harris,573,NYG,7,104,1966,Texas,1963,1965,27,133,573,4.3,9,21.2,RB,Texas
1785,Mike Taliaferro,572,NYJ,28,219,1963,Illinois,1960,1963,72,236,572,2.4,2,7.9,QB,Illinois
1786,Paul White,572,CRD,9,214,1970,UTEP,1967,1969,28,161,572,3.6,8,20.4,RB,UTEP
1787,Bob Clemens,570,OTI,30,239,1962,Pitt,1959,1961,30,127,570,4.5,2,19,RB,Pitt
1788,Claude Gibson,570,SDG,7,55,1961,North Carolina State,1958,1960,60,186,570,3.1,0,9.5,RB,North Carolina State
1789,Joe Krakoski,570,RAI,18,138,1961,Illinois,1958,1960,54,108,570,5.3,0,10.6,RB,Illinois
1790,Rock Cartwright,570,WAS,7,257,2002,Kansas State,2000,2001,23,112,570,5.1,7,24.8,RB,Kansas State
1791,Dave Farmer,567,ATL,11,287,1977,USC,1974,1976,33,71,567,8,0,17.2,RB,USC
1792,Ray Ogden,566,OTI,8,58,1965,Alabama,1962,1964,60,96,566,5.9,2,9.4,RB,Alabama
1793,Danny Buggs,562,NYG,3,62,1975,West Virginia,1972,1974,33,35,562,16.1,6,17,RB,West Virginia
1794,Blake Bortles,561,JAX,1,3,2014,UCF,2011,2013,37,195,561,2.9,15,15.2,QB,UCF
1795,Jeff Rowe,561,CIN,5,151,2007,Nevada,2002,2006,45,317,561,1.8,13,12.5,QB,Nevada
1796,Jake Rudock,560,DET,6,191,2016,Michigan,2013,2015,38,192,560,2.9,12,14.7,QB,"Iowa,Michigan"
1797,Justin Herbert,560,SDG,1,6,2020,Oregon,2016,2019,44,231,560,2.4,13,12.7,QB,Oregon
1798,Paige Cothren,560,RAM,22,256,1957,Ole Miss,1956,1956,10,115,560,4.9,2,56,RB,Ole Miss
1799,Pat Sullivan,559,ATL,2,40,1972,Auburn,1969,1971,30,155,559,3.6,18,18.6,QB,Auburn
1800,Frank Wilson,558,PIT,8,209,1981,Rice,1977,1980,33,156,558,3.6,0,16.9,TE,Rice
