,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
1401,Max Gilliam,19,2018,2020,17,214,374,160,57.2,2180,19,12,5.1,3.2,116.5,5.8,5.4,10.2,128.2,QB,Nevada-Las Vegas
1402,Mike Howard,19,1983,1986,45,288,518,230,55.6,3199,19,29,3.7,5.6,108.4,6.2,4.39,11.1,71.1,QB,Wisconsin
1403,Nate Sparks,19,1997,1998,17,133,270,137,49.3,2022,19,9,7,3.3,128.7,7.5,7.4,15.2,118.9,QB,Boise State
1404,Nathan Chandler,19,2002,2003,18,177,327,150,54.1,2201,19,10,5.8,3.1,123.7,6.7,6.52,12.4,122.3,QB,Iowa
1405,Nick Sherry,19,2012,2014,20,276,530,254,52.1,2959,19,24,3.6,4.5,101.7,5.6,4.26,10.7,148,QB,Nevada-Las Vegas
1406,Patrick Mullins,19,1995,1996,21,287,517,230,55.5,3759,19,25,3.7,4.8,119,7.3,5.83,13.1,179,QB,Utah State
1407,Paul Oates,19,1987,1989,19,178,393,215,45.3,2769,19,18,4.8,4.6,111.3,7,5.95,15.6,145.7,QB,Long Beach State
1408,Pete Beatrice,19,1972,1974,26,226,452,226,50,3015,19,31,4.2,6.9,106.2,6.7,4.42,13.3,116,QB,Brown
1409,Pete Shepherd,19,1997,2000,38,455,879,424,51.8,5754,19,28,2.2,3.2,107.5,6.5,5.54,12.6,151.4,QB,Central Michigan
1410,Phil Vinson,19,1986,1989,44,364,811,447,44.9,4090,19,35,2.3,4.3,86.3,5,3.57,11.2,93,QB,New Mexico State
1411,Rob Peters,19,1997,1999,30,207,408,201,50.7,2815,19,17,4.7,4.2,115.7,6.9,5.96,13.6,93.8,QB,Texas Tech
1412,Russ Shows,19,1989,1992,33,279,560,281,49.8,3778,19,24,3.4,4.3,109.1,6.7,5.5,13.5,114.5,QB,Ole Miss
1413,Sawyer Smith,19,2016,2019,28,219,380,161,57.6,2540,19,12,5,3.2,124,6.7,6.26,11.6,90.7,QB,"Kentucky,Troy"
1414,Shaun Hill,19,2000,2001,17,270,455,185,59.3,3158,19,13,4.2,2.9,125.7,6.9,6.49,11.7,185.8,QB,Maryland
1415,Terry Jordan,19,1990,1992,26,303,503,200,60.2,3695,19,15,3.8,3,128.4,7.3,6.76,12.2,142.1,QB,North Carolina State
1416,Tim Jones,19,1986,1989,44,210,420,210,50,2668,19,29,4.5,6.9,104.5,6.4,4.15,12.7,60.6,QB,Memphis
1417,Tom Sherman,19,1965,1967,30,163,347,184,47,2588,19,14,5.5,4,119.6,7.5,6.74,15.9,86.3,QB,Penn State
1418,Tony Merendino,19,1975,1978,44,177,356,179,49.7,2672,19,20,5.3,5.6,119.1,7.5,6.04,15.1,60.7,QB,Chattanooga
1419,Tye Gunn,19,2002,2005,22,253,460,207,55,3131,19,12,4.1,2.6,120.6,6.8,6.46,12.4,142.3,QB,Texas Christian
1420,Tyler Graunke,19,2005,2008,29,180,294,114,61.2,2429,19,11,6.5,3.7,144.5,8.3,7.87,13.5,83.8,QB,Hawaii
1421,Tyler Murphy,19,2013,2014,20,243,415,172,58.6,2839,19,15,4.6,3.6,123.9,6.8,6.13,11.7,142,QB,"Boston College,Florida"
1422,Warren Moon,19,1975,1977,30,242,496,254,48.8,3277,19,17,3.8,3.4,110.1,6.6,5.83,13.5,109.2,QB,Washington
1423,Will Proctor,19,2004,2006,20,201,338,137,59.5,2634,19,11,5.6,3.3,137,7.8,7.45,13.1,131.7,QB,Clemson
1424,Zach Calzada,19,2019,2021,15,196,352,156,55.7,2318,19,10,5.4,2.8,123.1,6.6,6.39,11.8,154.5,QB,Texas A&M
1425,Aso Pogi,18,2000,2002,29,335,583,248,57.5,3673,18,22,3.1,3.8,113,6.3,5.22,11,126.7,QB,Oklahoma State
1426,Austen Everson,18,2003,2006,38,305,608,303,50.2,3586,18,25,3,4.1,101.3,5.9,4.64,11.8,94.4,QB,Ohio
1427,Bailey Hockman,18,2019,2021,21,266,429,163,62,3097,18,17,4.2,4,128.6,7.2,6.28,11.6,147.5,QB,"Middle Tennessee State,North Carolina State"
1428,Barry Garrison,18,1984,1987,46,293,518,225,56.6,3338,18,29,3.5,5.6,111,6.4,4.62,11.4,72.6,QB,New Mexico
1429,Bill Gundy,18,1957,1959,27,117,224,107,52.2,1394,18,9,8,4,123,6.2,6.02,11.9,51.6,QB,Dartmouth
1430,Billy Paschall,18,1973,1975,33,176,326,150,54,2324,18,18,5.5,5.5,121,7.1,5.75,13.2,70.4,QB,North Carolina
1431,Blake Barnett,18,2016,2019,21,268,451,183,59.4,3398,18,14,4,3.1,129.7,7.5,6.94,12.7,161.8,QB,"Alabama,Arizona State,South Florida"
1432,Bob Lee,18,1966,1967,20,191,392,201,48.7,2340,18,26,4.6,6.6,100.8,6,3.9,12.3,117,QB,Pacific
1433,Brandon Connette,18,2010,2014,52,135,236,101,57.2,1709,18,11,7.6,4.7,133.9,7.2,6.67,12.7,32.9,QB,"Duke,Fresno State"
1434,Brett Hodges,18,2006,2009,24,243,399,156,60.9,2840,18,16,4.5,4,127.6,7.1,6.22,11.7,118.3,QB,"UCF,Wake Forest"
1435,Brett Sadek,18,1983,1987,43,220,455,235,48.4,2774,18,14,4,3.1,106.5,6.1,5.5,12.6,64.5,QB,"Iowa State,Minnesota"
1436,Brian Johnson,18,1987,1989,27,279,491,212,56.8,3334,18,26,3.7,5.3,115.4,6.8,5.14,11.9,123.5,QB,Stanford
1437,Bruce Gadd,18,1970,1972,32,287,561,274,51.2,3465,18,45,3.2,8,97.6,6.2,3.21,12.1,108.3,QB,Rice
1438,Bryce Carpenter,18,2018,2022,49,175,272,97,64.3,1927,18,5,6.6,1.8,142,7.1,7.58,11,39.3,QB,Coastal Carolina
1439,Bubba Wyche,18,1966,1968,22,173,312,139,55.4,2018,18,12,5.8,3.8,121.1,6.5,5.89,11.7,91.7,QB,Tennessee
1440,Caleb Rowe,18,2012,2016,35,218,431,213,50.6,2958,18,28,4.2,6.5,109,6.9,4.77,13.6,84.5,QB,Maryland
1441,Chad Voytik,18,2013,2016,35,230,379,149,60.7,2824,18,9,4.7,2.4,134.2,7.5,7.33,12.3,80.7,QB,"Arkansas State,Pitt"
1442,Collin Schlee,18,2020,2024,34,206,351,145,58.7,2677,18,7,5.1,2,135.7,7.6,7.75,13,78.7,QB,"Kent State,UCLA,Virginia Tech"
1443,Condredge Holloway,18,1972,1974,33,238,407,169,58.5,3102,18,12,4.4,2.9,131.2,7.6,7.18,13,94,QB,Tennessee
1444,Conner Weigman,18,2022,2024,11,178,295,117,60.3,2100,18,4,6.1,1.4,137.6,7.1,7.73,11.8,190.9,QB,Texas A&M
1445,Dan Henning,18,1961,1963,30,178,383,205,46.5,2348,18,24,4.7,6.3,100.9,6.1,4.25,13.2,78.3,QB,William & Mary
1446,Dick Winterbauer,18,1956,1957,18,79,148,69,53.4,1281,18,14,12.2,9.5,147.3,8.7,6.83,16.2,71.2,QB,Yale
1447,Donald Hammond III,18,2018,2019,22,94,183,89,51.4,1939,18,8,9.8,4.4,164.1,10.6,10.6,20.6,88.1,QB,Air Force
1448,Dondrial Pinkins,18,2000,2004,38,265,504,239,52.6,3459,18,18,3.6,3.6,114.9,6.9,5.97,13.1,91,QB,South Carolina
1449,Donny Harrison,18,1979,1983,55,334,591,257,56.5,3856,18,26,3,4.4,112.6,6.5,5.15,11.5,70.1,QB,Ohio
1450,Doug Shobert,18,1971,1972,18,250,429,179,58.3,2929,18,31,4.2,7.2,115,6.8,4.41,11.7,162.7,QB,Temple
1451,Ed Roseborough,18,1967,1968,20,144,307,163,46.9,2122,18,23,5.9,7.5,109.3,6.9,4.71,14.7,106.1,QB,Arizona State
1452,Eric Bennett,18,1994,1997,24,190,335,145,56.7,2682,18,16,5.4,4.8,132.1,8,6.93,14.1,111.8,QB,Nevada
1453,Eric Hochberg,18,1982,1985,41,338,640,302,52.8,3829,18,21,2.8,3.3,105.8,6,5.07,11.3,93.4,QB,Rutgers
1454,Eric Kresser,18,1993,1995,22,93,160,67,58.1,1572,18,5,11.3,3.1,171.5,9.8,10.67,16.9,71.5,QB,Florida
1455,Ethan Garbers,18,2021,2024,32,210,331,121,63.4,2425,18,11,5.4,3.3,136.3,7.3,6.92,11.5,75.8,QB,UCLA
1456,Gale Weidner,18,1959,1961,30,219,480,261,45.6,3033,18,32,3.8,6.7,97.7,6.3,4.07,13.8,101.1,QB,Colorado
1457,Garry Harper,18,1978,1980,33,205,420,215,48.8,2734,18,22,4.3,5.2,107.2,6.5,5.01,13.3,82.8,QB,South Carolina
1458,Gary Hollingsworth,18,1989,1990,22,345,621,276,55.6,3842,18,29,2.9,4.7,107.8,6.2,4.67,11.1,174.6,QB,Alabama
1459,Gordon Beckham,18,1979,1982,45,163,345,182,47.2,2048,18,28,5.2,8.1,98.1,5.9,3.33,12.6,45.5,QB,South Carolina
1460,Grant Noel,18,1999,2002,22,158,284,126,55.6,1971,18,11,6.3,3.9,127.1,6.9,6.46,12.5,89.6,QB,Virginia Tech
1461,Greg Talley,18,1988,1991,42,225,414,189,54.3,3101,18,17,4.3,4.1,123.4,7.5,6.51,13.8,73.8,QB,Georgia
1462,Jake Medlock,18,2011,2013,25,264,478,214,55.2,3425,18,9,3.8,1.9,124.1,7.2,7.07,13,137,QB,Florida International
1463,Jared Brown,18,1994,1995,19,249,513,264,48.5,2937,18,25,3.5,4.9,98.5,5.7,4.23,11.8,154.6,QB,Nevada-Las Vegas
1464,Jay Jeffrey,18,1977,1981,44,191,376,185,50.8,2788,18,25,4.8,6.6,115.6,7.4,5.38,14.6,63.4,QB,"Baylor,Missouri"
1465,Jeff Quinn,18,1977,1980,44,147,254,107,57.9,2005,18,11,7.1,4.3,138.9,7.9,7.36,13.6,45.6,QB,Nebraska
1466,Jim Miller,18,1984,1987,41,320,628,308,51,3517,18,37,2.9,5.9,95.7,5.6,3.52,11,85.8,QB,New Mexico State
1467,Jimmy Fisher,18,1974,1976,33,126,235,109,53.6,2215,18,13,7.7,5.5,147,9.4,8.47,17.6,67.1,QB,Florida
1468,Joe Zuger,18,1958,1961,41,135,270,135,50,1737,18,16,6.7,5.9,114.2,6.4,5.1,12.9,42.4,QB,Arizona State
1469,John Amabile,18,1958,1960,29,162,329,167,49.2,2281,18,16,5.5,4.9,115.8,6.9,5.84,14.1,78.7,QB,Boston College
1470,John Bond,18,1980,1983,44,307,665,358,46.2,4621,18,37,2.7,5.6,102.3,6.9,4.99,15.1,105,QB,Mississippi State
1471,John Darnell,18,1987,1989,31,238,436,198,54.6,3253,18,16,4.1,3.7,123.5,7.5,6.64,13.7,104.9,QB,Ole Miss
1472,John Hogan,18,1970,1972,32,189,380,191,49.7,2334,18,23,4.7,6.1,104.9,6.1,4.37,12.3,72.9,QB,Pitt
1473,John Kaleo,18,1991,1992,18,305,537,232,56.8,3660,18,27,3.4,5,115.1,6.8,5.22,12,203.3,QB,Maryland
1474,John Shaffer,18,1983,1986,45,262,547,285,47.9,3469,18,24,3.3,4.4,103.3,6.3,5.03,13.2,77.1,QB,Penn State
1475,Jonathan Hall,18,1985,1989,44,182,409,227,44.5,2431,18,16,4.4,3.9,101.1,5.9,5.06,13.4,55.3,QB,North Carolina
1476,Josh Padrick,18,2005,2006,23,434,754,320,57.6,4475,18,25,2.4,3.3,108.7,5.9,4.92,10.3,194.6,QB,Florida International
1477,Kain Colter,18,2010,2013,39,222,320,98,69.4,2160,18,9,5.6,2.8,139,6.8,6.61,9.7,55.4,QB,Northwestern
