,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
401,Taysom Hill,43,2012,2016,37,609,1047,438,58.2,6929,43,31,4.1,3,121.4,6.6,6.11,11.4,187.3,QB,BYU
402,Tommie Frazier,43,1992,1995,35,232,469,237,49.5,3521,43,11,9.2,2.3,138.1,7.5,8.29,15.2,100.6,QB,Nebraska
403,Tommy Devito,43,2018,2022,40,594,941,347,63.1,6516,43,16,4.6,1.7,133,6.9,7.07,11,162.9,QB,"Illinois,Syracuse"
404,Walter Church,43,1996,2000,40,807,1441,634,56,9142,43,46,3,3.2,112.8,6.3,5.5,11.3,228.6,QB,Eastern Michigan
405,Austen Arnaud,42,2007,2010,41,616,1031,415,59.7,6777,42,34,4.1,3.3,121.8,6.6,5.9,11,165.3,QB,Iowa State
406,Bill Burke,42,1996,1999,37,385,714,329,53.9,5059,42,29,5.9,4.1,124.7,7.1,6.43,13.1,136.7,QB,Michigan State
407,Brandon Cox,42,2004,2007,44,550,927,377,59.3,6959,42,32,4.5,3.5,130.4,7.5,6.86,12.7,158.2,QB,Auburn
408,Casey Pachall,42,2010,2013,32,431,685,254,62.9,5415,42,18,6.1,2.6,144.3,7.9,7.95,12.6,169.2,QB,Texas Christian
409,Chris Finlen,42,1997,2001,44,502,910,408,55.2,6551,42,34,4.6,3.7,123.4,7.2,6.44,13,148.9,QB,Northern Illinois
410,Chuck Ealey,42,1969,1971,32,349,645,296,54.1,4824,42,29,6.5,4.5,129.4,7.5,6.76,13.8,150.8,QB,Toledo
411,Cullen Harper,42,2005,2008,31,518,815,297,63.6,5762,42,20,5.2,2.5,135,7.1,7,11.1,185.9,QB,Clemson
412,Dave Brown,42,1989,1991,29,463,845,382,54.8,5717,42,33,5,3.9,120.2,6.8,6,12.3,197.1,QB,Duke
