,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
1601,Andrew Allen,16,2014,2015,18,125,230,105,54.3,1649,16,9,7,3.9,129.7,7.2,6.8,13.2,91.6,WR,New Mexico State
1602,Art Yaroch,16,1975,1976,22,128,278,150,46,1808,16,15,5.8,5.4,108.9,6.5,5.23,14.1,82.2,QB,Ball State
1603,Bill Andrejko,16,1964,1967,27,145,251,106,57.8,1912,16,9,6.4,3.6,135.6,7.6,7.28,13.2,70.8,QB,Villanova
1604,Bill King,16,1960,1962,27,127,245,118,51.8,1847,16,9,6.5,3.7,129.4,7.5,7.19,14.5,68.4,QB,Dartmouth
1605,Billy Rucker,16,1983,1986,38,232,452,220,51.3,3890,16,25,3.5,5.5,124.2,8.6,6.83,16.8,102.4,QB,New Mexico
1606,B.J. Dailey,16,1974,1976,33,133,313,180,42.5,2087,16,29,5.1,9.3,96.8,6.7,3.52,15.7,63.2,QB,Dayton
1607,Blair Williams,16,1980,1982,19,112,201,89,55.7,1696,16,10,8,5,142.9,8.4,7.79,15.1,89.3,QB,Florida State
1608,Blake Kemp,16,2015,2015,11,260,375,115,69.3,2658,16,10,4.3,2.7,137.6,7.1,6.74,10.2,241.6,QB,East Carolina
1609,Bobby McKinley,16,1974,1975,22,146,348,202,42,2185,16,27,4.6,7.8,94.4,6.3,3.71,15,99.3,QB,UTEP
1610,Brad Bower,16,2004,2007,29,225,404,179,55.7,2850,16,20,4,5,118.1,7.1,5.62,12.7,98.3,QB,"Illinois,Ohio"
1611,Brandon Bridge,16,2013,2014,20,189,373,184,50.7,2325,16,10,4.3,2.7,111.8,6.2,5.88,12.3,116.3,QB,South Alabama
1612,Brent Schaeffer,16,2004,2007,26,168,374,206,44.9,2322,16,15,4.3,4,103.2,6.2,5.26,13.8,89.3,QB,"Ole Miss,Tennessee"
1613,Brian Linstrom,16,1969,1971,25,193,434,241,44.5,2619,16,19,3.7,4.4,98.6,6,4.8,13.6,104.8,QB,Arizona
1614,Bruce Shaw,16,1971,1973,33,184,396,212,46.5,2999,16,26,4,6.6,110.3,7.6,5.43,16.3,90.9,QB,North Carolina State
1615,Cameron Dantley,16,2007,2008,19,169,341,172,49.6,1856,16,8,4.7,2.3,106.1,5.4,5.33,11,97.7,QB,Syracuse
1616,Chance Harridge,16,2001,2003,30,151,329,178,45.9,2176,16,17,4.9,5.2,107.2,6.6,5.26,14.4,72.5,QB,Air Force
1617,Christian Veilleux,16,2021,2024,15,188,332,144,56.6,2178,16,9,4.8,2.7,122.2,6.6,6.3,11.6,145.2,QB,"Georgia State,Penn State,Pitt"
