,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
601,Terry Metcalf,2432,CRD,3,63,1973,Long Beach State,1971,1972,23,480,2432,5.1,44,105.7,RB,Long Beach State
602,Mark Kellar,2429,MIN,6,155,1974,Northern Illinois,1971,1973,22,459,2429,5.3,23,110.4,RB,Northern Illinois
603,Alfred Anderson,2424,MIN,3,67,1984,Baylor,1980,1983,44,554,2424,4.4,35,55.1,RB,Baylor
604,Latavius Murray,2424,RAI,6,181,2013,UCF,2008,2012,45,453,2424,5.4,37,53.9,RB,UCF
605,Ricky Whittle,2423,NOR,4,103,1996,Oregon,1992,1995,40,559,2423,4.3,21,60.6,RB,Oregon
606,Roland Moss,2421,CLT,7,181,1969,Toledo,1966,1968,30,655,2421,3.7,32,80.7,RB,Toledo
607,Calvin Murray,2420,PHI,4,110,1981,Ohio State,1977,1980,39,408,2420,5.9,15,62.1,RB,Ohio State
608,Duane Thomas,2418,DAL,1,23,1970,West Texas State,1966,1969,40,405,2418,6,20,60.5,RB,West Texas State
609,Evan Hull,2417,CLT,5,176,2023,Northwestern,2019,2022,38,488,2417,5,18,63.6,RB,Northwestern
610,Rick Badanjek,2417,WAS,7,186,1986,Maryland,1982,1985,44,521,2417,4.6,44,54.9,RB,Maryland
611,Kendre Miller,2410,NOR,3,71,2023,Texas Christian,2020,2022,33,361,2410,6.7,26,73,RB,Texas Christian
612,John L. Williams,2409,SEA,1,15,1986,Florida,1982,1985,39,468,2409,5.1,14,61.8,RB,Florida
613,Madre Hill,2407,CLE,7,207,1999,Arkansas,1994,1998,33,541,2407,4.4,25,72.9,RB,Arkansas
614,Russell Davis,2404,PIT,4,86,1979,Michigan,1975,1978,44,487,2404,4.9,17,54.6,RB,Michigan
615,Bobby Smith,2402,NYJ,26,205,1961,UCLA,1959,1961,60,626,2402,3.8,20,40,QB,UCLA
