,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
423,David Mikell,2660,2000,2003,47,518,2660,5.1,32,56.6,RB,Boise State
424,Kirk Jones,2656,1983,1986,42,501,2656,5.3,16,63.2,RB,Nevada-Las Vegas
425,Eric Allen,2654,1969,1971,31,521,2654,5.1,28,85.6,RB,Michigan State
426,Izzy Matthews,2654,2015,2018,47,548,2654,4.8,30,56.5,RB,Colorado State
427,Vince Weathersby,2653,1985,1988,44,572,2653,4.6,14,60.3,RB,Washington
428,Anthone Taylor,2651,2011,2015,38,554,2651,4.8,18,69.8,RB,Buffalo
429,Rushel Shell,2651,2012,2016,47,591,2651,4.5,24,56.4,RB,"Pitt,West Virginia"
430,Tyler Nevens,2650,2017,2021,50,574,2650,4.6,18,53,RB,San Jose State
431,Vincent Alexander,2648,1983,1986,42,556,2648,4.8,10,63,RB,Southern Mississippi
432,Matt Brown,2647,2009,2012,46,466,2647,5.7,22,57.5,WR,Temple
433,Dennis Riddle,2645,1994,1997,45,612,2645,4.3,23,58.8,RB,Alabama
434,Eric Richardson,2645,2000,2003,45,566,2645,4.7,26,58.8,RB,Tulsa
435,David Walker,2639,1989,1992,44,502,2639,5.3,17,60,RB,Syracuse
436,Nathan Rourke,2639,2017,2019,39,425,2639,6.2,49,67.7,QB,Ohio
437,Dave Casinelli,2636,1960,1963,39,549,2636,4.8,36,67.6,RB,Memphis
438,Lamont Zachery,2636,1996,1999,43,505,2636,5.2,24,61.3,RB,Arkansas State
439,Dujuan Harris,2635,2007,2010,50,540,2635,4.9,27,52.7,RB,Troy
440,Keegan Herring,2635,2005,2008,47,511,2635,5.2,20,56.1,RB,Arizona State
441,Toraino Singleton,2635,1994,1995,23,557,2635,4.7,19,114.6,RB,UTEP
442,Joe Burns,2634,1998,2001,44,614,2634,4.3,31,59.9,RB,Georgia Tech
443,Larry Isaac,2633,1973,1976,44,538,2633,4.9,26,59.8,RB,Texas Tech
444,Frank Mordica,2632,1976,1979,44,546,2632,4.8,18,59.8,RB,Vanderbilt
445,Jason Wright,2625,2000,2003,45,489,2625,5.4,32,58.3,RB,Northwestern
446,I'Tavius Mathers,2622,2012,2016,50,421,2622,6.2,24,52.4,RB,"Middle Tennessee State,Ole Miss"
447,Lennon Creer,2621,2007,2011,46,519,2621,5.1,24,57,RB,"Louisiana Tech,Tennessee"
448,Greg McCrae,2620,2017,2020,45,406,2620,6.5,29,58.2,RB,UCF
449,Deion Hankins,2619,2019,2024,49,557,2619,4.7,24,53.4,RB,"Texas State,UTEP"
450,Derrick Locke,2618,2007,2010,40,518,2618,5.1,22,65.5,RB,Kentucky
451,Donnie Riley,2617,1986,1989,30,506,2617,5.2,21,87.2,RB,Central Michigan
452,Alex Barnes,2616,2016,2018,36,458,2616,5.7,25,72.7,RB,Kansas State
453,Karan Higdon,2616,2015,2018,39,471,2616,5.6,27,67.1,RB,Michigan
454,Woodrow Dantzler,2615,1998,2001,36,549,2615,4.8,27,72.6,QB,Clemson
455,Kevin Babcock,2614,1976,1979,44,675,2614,3.9,13,59.4,RB,Ohio
456,Alonzo Smith,2613,2014,2018,47,572,2613,4.6,19,55.6,RB,Miami (OH)
457,Jordan Parker,2612,2012,2015,46,546,2612,4.8,17,56.8,RB,Middle Tennessee State
458,Anthony Anderson,2610,1975,1978,43,583,2610,4.5,22,60.7,RB,Temple
459,Bobby Howard,2608,1977,1980,44,515,2608,5.1,18,59.3,RB,Western Michigan
460,David Winbush,2608,1997,2000,43,556,2608,4.7,22,60.7,RB,Kansas
461,Darrell Wallace,2607,1984,1987,38,574,2607,4.5,13,68.6,RB,Missouri
462,Johnathan Gray,2607,2012,2015,46,578,2607,4.5,17,56.7,RB,Texas
463,Chad Hall,2606,2005,2007,36,451,2606,5.8,21,72.4,WR,Air Force
464,Marques Brigham,2605,1995,1998,44,595,2605,4.4,25,59.2,RB,Wyoming
465,Mark Weisman,2602,2012,2014,36,599,2602,4.3,32,72.3,RB,Iowa
466,Matthew Tucker,2602,2009,2012,51,494,2602,5.3,33,51,RB,Texas Christian
467,Juan Johnson,2601,1994,1997,38,582,2601,4.5,22,68.4,RB,Utah
468,Stevie Hicks Jr.,2601,2003,2006,40,649,2601,4,11,65,RB,Iowa State
469,Jahad Thomas,2599,2013,2016,46,563,2599,4.6,30,56.5,RB,Temple
470,Anthony Alridge,2595,2005,2007,39,363,2595,7.1,22,66.5,RB,Houston
471,Bobby Windom,2595,1975,1978,40,484,2595,5.4,15,64.9,RB,Eastern Michigan
472,Brandon Bolden,2594,2008,2011,48,486,2594,5.3,27,54,RB,Ole Miss
473,Markell Jones,2594,2015,2018,46,542,2594,4.8,20,56.4,RB,Purdue
474,Dajuane Collins,2588,2006,2009,44,451,2588,5.7,29,58.8,RB,Toledo
475,Josh Ferguson,2586,2011,2015,47,505,2586,5.1,18,55,RB,Illinois
476,Onterio McCalebb,2586,2009,2012,50,406,2586,6.4,24,51.7,RB,Auburn
477,Mike Gaddis,2585,1988,1991,33,411,2585,6.3,27,78.3,RB,Oklahoma
478,L.V. Whitworth,2583,2004,2007,46,590,2583,4.4,17,56.2,RB,Boston College
479,Cleveland Cooper,2582,1972,1974,33,579,2582,4.5,17,78.2,RB,Navy
480,Kevin McLee,2581,1975,1977,33,564,2581,4.6,21,78.2,RB,Georgia
481,Tarence Williams,2581,1999,2002,37,575,2581,4.5,22,69.8,RB,Wake Forest
482,Shaq Vann,2577,2015,2019,44,518,2577,5,23,58.6,RB,Eastern Michigan
483,Anthony Barbour,2575,1988,1992,34,474,2575,5.4,16,75.7,RB,North Carolina State
484,Jon Hilliman,2575,2014,2018,53,695,2575,3.7,32,48.6,RB,"Boston College,Rutgers"
485,Vincent Davis,2573,2019,2023,63,543,2573,4.7,23,40.8,RB,"Nevada-Las Vegas,Pitt"
486,Shadrach Thornton,2572,2012,2015,37,513,2572,5,19,69.5,RB,North Carolina State
487,Buddy Gore,2571,1966,1968,30,601,2571,4.3,15,85.7,RB,Clemson
488,Dave Hoppmann,2562,1960,1962,30,588,2562,4.4,21,85.4,QB,Iowa State
489,Mataeo Durant,2562,2018,2021,44,489,2562,5.2,18,58.2,RB,Duke
490,Mose Rison,2562,1975,1977,32,499,2562,5.1,16,80.1,RB,Central Michigan
491,Shaun Carney,2561,2004,2007,46,652,2561,3.9,31,55.7,QB,Air Force
492,John White,2560,2011,2012,24,534,2560,4.8,23,106.7,RB,Utah
493,Moe Neal,2560,2016,2019,49,485,2560,5.3,15,52.2,RB,Syracuse
494,Aeris Williams,2557,2015,2018,51,498,2557,5.1,16,50.1,RB,Mississippi State
495,Juice Williams,2557,2006,2009,48,637,2557,4,18,53.3,QB,Illinois
496,John Rhys Plumlee,2556,2019,2023,52,453,2556,5.6,28,49.2,QB,"Ole Miss,UCF"
497,Ladarius Perkins,2554,2010,2013,50,530,2554,4.8,15,51.1,RB,Mississippi State
498,Solomon White,2553,1993,1996,43,599,2553,4.3,25,59.4,RB,Tulsa
499,Dave Schilling,2552,1969,1971,32,641,2552,4,20,79.8,RB,Oregon State
500,Tony Temple,2552,2004,2007,37,466,2552,5.5,22,69,RB,Missouri
501,Christopher Brooks,2551,2018,2022,52,512,2551,5,20,49.1,RB,"BYU,California"
502,Tyler Goodson,2551,2019,2021,34,533,2551,4.8,18,75,RB,Iowa
503,Morgan Kane,2550,1996,1999,43,647,2550,3.9,17,59.3,RB,Wake Forest
504,Rocky Harvey,2547,1998,2001,44,526,2547,4.8,18,57.9,RB,Illinois
505,Pierre Thomas,2545,2003,2006,40,453,2545,5.6,20,63.6,RB,Illinois
506,Brandon Ross,2543,2012,2015,43,486,2543,5.2,19,59.1,RB,Maryland
507,Stevie Scott,2543,2018,2020,31,562,2543,4.5,30,82,RB,Indiana
508,Tony Stewart,2541,1987,1990,44,525,2541,4.8,17,57.8,RB,Iowa
509,Eric Hickson,2537,1994,1998,42,507,2537,5,26,60.4,RB,Kansas State
510,Jonathan Ward,2537,2016,2019,42,474,2537,5.4,28,60.4,RB,Central Michigan
511,Michael Carter,2534,1990,1993,48,574,2534,4.4,39,52.8,QB,Hawaii
512,Corby Jones,2533,1995,1998,39,559,2533,4.5,38,64.9,QB,Missouri
513,Emmitt Hamilton,2533,1974,1977,41,447,2533,5.7,28,61.8,RB,Appalachian State
514,Ja'Terian Douglas,2533,2010,2013,51,405,2533,6.3,16,49.7,RB,Tulsa
515,Shaun Wick,2533,2012,2016,49,516,2533,4.9,21,51.7,RB,Wyoming
516,Aaron Green,2531,2011,2015,48,469,2531,5.4,22,52.7,RB,"Nebraska,Texas Christian"
517,Clarence Farmer,2530,2000,2003,33,521,2530,4.9,19,76.7,RB,Arizona
518,Willie Burden,2529,1971,1973,33,491,2529,5.2,22,76.6,RB,North Carolina State
519,Matt Colburn,2528,2015,2018,47,542,2528,4.7,15,53.8,RB,Wake Forest
520,Arnold Welcher,2525,1974,1977,44,524,2525,4.8,12,57.4,RB,Ohio
521,Anthony Bookman,2523,1994,1997,44,514,2523,4.9,17,57.3,RB,Stanford
522,Dennis Kennedy,2522,2005,2008,46,556,2522,4.5,27,54.8,RB,Akron
523,Vince Thompson,2522,1975,1978,44,628,2522,4,21,57.3,RB,Villanova
524,Willie Turral,2520,1982,1985,46,465,2520,5.4,29,54.8,RB,New Mexico
525,Braeden West,2519,2015,2018,48,475,2519,5.3,16,52.5,RB,SMU
526,Eric McCoo,2518,1998,2001,46,497,2518,5.1,18,54.7,RB,Penn State
527,Raheim Sanders,2516,2021,2024,36,455,2516,5.5,21,69.9,RB,"Arkansas,South Carolina"
528,Butch Colson,2512,1967,1969,29,638,2512,3.9,27,86.6,RB,East Carolina
529,Boom Williams,2511,2014,2016,33,366,2511,6.9,18,76.1,RB,Kentucky
530,David Bailey,2510,2018,2023,54,569,2510,4.4,26,46.5,RB,"Boston College,Colorado State,Texas A&M"
531,Jarquez Hunter,2510,2021,2024,41,400,2510,6.3,19,61.2,RB,Auburn
532,Luke Staley,2507,1999,2001,30,418,2507,6,41,83.6,RB,BYU
533,Quinton Smith,2505,2003,2006,40,427,2505,5.9,17,62.6,RB,Rice
534,Shelton Gandy,2504,1984,1988,55,551,2504,4.5,26,45.5,RB,Southern Mississippi
535,Lamar Jordan,2501,2014,2017,46,458,2501,5.5,17,54.4,QB,New Mexico
536,Keith Barnette,2500,1973,1975,33,552,2500,4.5,34,75.8,RB,Boston College
537,Isi Sofele,2499,2009,2012,50,479,2499,5.2,15,50,RB,California
538,Larry Caper,2499,1979,1982,44,533,2499,4.7,15,56.8,RB,Western Michigan
539,Michael Perry,2496,1995,1998,44,428,2496,5.8,18,56.7,RB,Rice
540,Alvin Lewis,2491,1977,1980,45,493,2491,5.1,12,55.4,RB,Colorado State
541,Carl Woods,2490,1983,1986,44,619,2490,4,15,56.6,RB,Vanderbilt
542,Herchell Troutman,2487,1994,1997,43,568,2487,4.4,21,57.8,RB,Colorado
543,Lance Ball,2487,2004,2007,41,549,2487,4.5,26,60.7,RB,Maryland
