,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
69,Chandler Jones,3087,2010,2013,50,248,3087,12.4,29,61.7,WR,San Jose State
70,Alonzo Russell,3076,2012,2015,50,202,3076,15.2,24,61.5,WR,Toledo
71,Kareem Kelly,3071,1999,2002,47,201,3071,15.3,15,65.3,WR,USC
72,Jack Sorenson,3070,2017,2021,41,191,3070,16.1,20,74.9,,Miami (OH)
73,Wes Welker,3069,2000,2003,50,259,3069,11.8,21,61.4,RB,Texas Tech
74,Victor Tucker,3066,2018,2022,51,228,3066,13.4,19,60.1,WR,Charlotte
75,Eric Drage,3065,1990,1993,38,162,3065,18.9,29,80.7,WR,BYU
76,Ty Lee,3062,2016,2019,52,260,3062,11.8,24,58.9,WR,Middle Tennessee State
77,Lloyd Hill,3059,1990,1993,44,189,3059,16.2,20,69.5,WR,Texas Tech
78,Delwyn Daigre,3056,1998,2001,43,234,3056,13.1,25,71.1,WR,Louisiana Tech
79,Brandon Wimberly,3049,2009,2013,52,261,3049,11.7,18,58.6,WR,Nevada
80,Matt Miller,3049,2011,2014,44,244,3049,12.5,29,69.3,WR,Boise State
81,Cam Phillips,3027,2014,2017,52,236,3027,12.8,17,58.2,WR,Virginia Tech
82,Jalon Calhoun,3026,2019,2023,61,253,3026,12,17,49.6,WR,Duke
83,Jamarko Simmons,3019,2005,2008,47,260,3019,11.6,17,64.2,RB,Western Michigan
84,Willie Snead,2991,2011,2013,37,223,2991,13.4,26,80.8,,Ball State
85,Duke Calhoun,2981,2006,2009,49,212,2981,14.1,19,60.8,WR,Memphis
86,Carl Winston,2972,1990,1993,46,202,2972,14.7,14,64.6,WR,New Mexico
87,Bryan Schorman,2968,1995,1998,39,187,2968,15.9,13,76.1,WR,Central Michigan
88,Boo Mitchell,2964,1985,1988,44,188,2964,15.8,9,67.4,WR,Vanderbilt
89,Cole Beasley,2959,2008,2011,49,255,2959,11.6,14,60.4,WR,SMU
90,Brian Roberson,2956,1993,1996,47,188,2956,15.7,15,62.9,WR,Fresno State
91,Damon Savage,2952,1996,1999,42,212,2952,13.9,16,70.3,WR,Tulsa
92,Trevon Brown,2952,2014,2018,41,189,2952,15.6,24,72,WR,East Carolina
93,Penny Hart,2950,2015,2018,39,202,2950,14.6,19,75.6,WR,Georgia State
94,Damonte Coxie,2948,2017,2020,43,185,2948,15.9,20,68.6,WR,Memphis
95,Deronnie Pitts,2942,1997,2000,44,222,2942,13.3,24,66.9,WR,Stanford
96,Josh Harper,2938,2011,2014,42,228,2938,12.9,29,70,WR,Fresno State
97,LaJohntay Wester,2929,2020,2024,49,270,2929,10.8,25,59.8,WR,"Colorado,Florida Atlantic"
98,D.J. Hall,2923,2004,2007,48,194,2923,15.1,17,60.9,WR,Alabama
99,T.J. Rahming,2919,2015,2018,50,253,2919,11.5,13,58.4,WR,Duke
100,Kelly Campbell,2907,1998,2001,41,195,2907,14.9,24,70.9,WR,Georgia Tech
101,Justin Colbert,2905,1999,2002,44,212,2905,13.7,14,66,WR,Hawaii
102,Smoke Harris,2903,2018,2023,61,307,2903,9.5,23,47.6,WR,Louisiana Tech
103,Darren Carrington,2899,2014,2017,45,182,2899,15.9,21,64.4,WR,"Oregon,Utah"
104,Emeka Emezie,2895,2017,2021,62,229,2895,12.6,19,46.7,WR,North Carolina State
105,Steve Ishmael,2891,2014,2017,47,219,2891,13.2,18,61.5,WR,Syracuse
106,Dom Williams,2889,2012,2015,49,192,2889,15,30,59,WR,Washington State
107,Fred Gibson,2884,2001,2004,45,161,2884,17.9,20,64.1,WR,Georgia
108,Jarrett Boykin,2884,2008,2011,54,184,2884,15.7,18,53.4,WR,Virginia Tech
109,Wendell Montgomery,2883,1996,1999,47,181,2883,15.9,10,61.3,WR,Wyoming
110,Dan Stricker,2880,1999,2002,45,182,2880,15.8,21,64,WR,Vanderbilt
111,Anthony Lucas,2879,1995,1999,43,137,2879,21,23,67,WR,Arkansas
112,Brandon Middleton,2873,1999,2003,47,137,2873,21,24,61.1,WR,Houston
113,Jermaine Kearse,2871,2008,2011,50,180,2871,16,29,57.4,WR,Washington
114,Eric Ward,2863,2010,2013,47,255,2863,11.2,31,60.9,WR,Texas Tech
115,Kevonn Mabon,2862,2012,2016,51,244,2862,11.7,12,56.1,WR,Ball State
116,Jarrett Hicks,2859,2003,2006,42,198,2859,14.4,30,68.1,WR,Texas Tech
117,Darius Johnson,2854,2009,2012,42,232,2854,12.3,20,68,WR,SMU
118,C.J. Johnson,2849,2019,2022,46,175,2849,16.3,21,61.9,WR,East Carolina
119,Craig Bragg,2845,2001,2004,46,193,2845,14.7,19,61.8,WR,UCLA
120,Rodney Wright,2843,1998,2001,34,198,2843,14.4,21,83.6,WR,Fresno State
121,Margin Hooks,2841,1997,2000,47,189,2841,15,14,60.4,WR,BYU
122,J.D. McKissic,2838,2011,2015,51,289,2838,9.8,11,55.6,WR,Arkansas State
123,Ibn Green,2830,1996,1999,43,217,2830,13,33,65.8,RB,Louisville
124,Jaivon Heiligh,2825,2018,2021,49,191,2825,14.8,22,57.7,WR,Coastal Carolina
125,Tanner Gentry,2815,2013,2016,42,180,2815,15.6,20,67,WR,Wyoming
126,Jeff Champine,2811,1980,1983,41,184,2811,15.3,21,68.6,WR,Colorado State
127,Orlando Iglesias,2810,1997,2001,45,222,2810,12.7,17,62.4,WR,Houston
128,Tay Martin,2810,2017,2021,60,238,2810,11.8,28,46.8,WR,"Oklahoma State,Washington State"
129,Jeremy Williams,2807,2006,2009,40,197,2807,14.2,19,70.2,WR,Tulane
130,Tyler Vaughns,2801,2017,2020,45,222,2801,12.6,20,62.2,WR,USC
131,Alex Amidon,2800,2010,2013,46,191,2800,14.7,15,60.9,WR,Boston College
132,Jordan Leslie,2794,2011,2014,49,180,2794,15.5,21,57,WR,"BYU,UTEP"
133,Tre Walker,2790,2017,2020,39,189,2790,14.8,12,71.5,WR,San Jose State
134,Frederick Stamps,2789,2000,2003,44,180,2789,15.5,19,63.4,WR,Louisiana
135,Devante Davis,2785,2011,2014,45,186,2785,15,22,61.9,WR,Nevada-Las Vegas
136,Nate Poole,2785,1997,2000,48,212,2785,13.1,18,58,WR,Marshall
137,Emanuel Tolbert,2784,1976,1979,44,171,2784,16.3,25,63.3,WR,SMU
138,Danario Alexander,2778,2006,2009,47,191,2778,14.5,22,59.1,WR,Missouri
139,Dante Love,2778,2005,2008,40,199,2778,14,20,69.5,WR,Ball State
140,Lance Moore,2776,2001,2004,49,222,2776,12.5,25,56.7,WR,Toledo
141,Omar Bayless,2775,2015,2019,49,177,2775,15.7,26,56.6,WR,Arkansas State
142,Michael Larkin,2772,2001,2004,50,200,2772,13.9,32,55.4,WR,Miami (OH)
143,Lucious Davis,2769,1992,1995,44,147,2769,18.8,31,62.9,WR,New Mexico State
144,Brennan Presley,2767,2020,2024,56,252,2767,11,20,49.4,WR,Oklahoma State
145,Mike Davis,2753,2010,2013,49,200,2753,13.8,18,56.2,WR,Texas
146,Olamide Zaccheaus,2753,2015,2018,50,250,2753,11,22,55.1,WR,Virginia
147,D'Juan Woods,2751,2002,2006,51,163,2751,16.9,20,53.9,WR,Oklahoma State
148,Stanley Morgan Jr.,2747,2015,2018,49,189,2747,14.5,22,56.1,WR,Nebraska
149,Damaris Johnson,2746,2008,2010,39,188,2746,14.6,17,70.4,WR,Tulsa
150,Bernard Reedy,2743,2010,2013,50,195,2743,14.1,23,54.9,WR,Toledo
151,Cody Wilson,2734,2009,2012,49,230,2734,11.9,13,55.8,WR,Central Michigan
152,Reggie Roberson Jr.,2734,2017,2021,47,174,2734,15.7,24,58.2,WR,"SMU,West Virginia"
153,Aaron Kelly,2733,2005,2008,51,232,2733,11.8,20,53.6,WR,Clemson
154,Kyle Williams,2733,2020,2024,41,194,2733,14.1,19,66.7,WR,"Nevada-Las Vegas,Washington State"
155,Lennie Johnson,2730,1995,1998,45,156,2730,17.5,12,60.7,WR,Arkansas State
156,Detron Lewis,2729,2007,2010,48,238,2729,11.5,18,56.9,WR,Texas Tech
157,JD Spielman,2727,2017,2021,40,183,2727,14.9,17,68.2,WR,"Nebraska,Texas Christian"
158,Robert Redd,2726,1998,2002,41,211,2726,12.9,25,66.5,WR,Bowling Green
159,Nehemiah Glover,2725,2001,2004,47,223,2725,12.2,21,58,WR,Texas Tech
160,Jordan Williams,2723,2012,2015,43,200,2723,13.6,23,63.3,WR,Ball State
161,Johnny Quinn,2718,2003,2006,47,187,2718,14.5,21,57.8,WR,North Texas
162,Ronnie Moore,2704,2013,2016,54,198,2704,13.7,19,50.1,WR,Bowling Green
163,Jalen Cropper,2701,2019,2022,43,220,2701,12.3,21,62.8,WR,Fresno State
164,River Cracraft,2701,2013,2016,41,218,2701,12.4,20,65.9,WR,Washington State
165,Adarius Bowman,2697,2003,2007,42,155,2697,17.4,25,64.2,WR,"North Carolina,Oklahoma State"
166,Jalen Robinette,2697,2013,2016,47,120,2697,22.5,18,57.4,WR,Air Force
167,Lucky Jackson,2691,2016,2019,51,210,2691,12.8,13,52.8,WR,Western Kentucky
168,Teddy Veal,2691,2014,2018,49,232,2691,11.6,14,54.9,WR,"Louisiana Tech,Tulane"
169,Lane Danielsen,2690,2000,2003,44,163,2690,16.5,14,61.1,WR,Iowa State
170,Kerry Watkins,2680,1999,2002,45,171,2680,15.7,22,59.6,WR,Georgia Tech
171,Ryan McGuffey,2679,2000,2003,42,231,2679,11.6,13,63.8,WR,Wyoming
172,Stan Hunter,2679,1982,1985,44,176,2679,15.2,21,60.9,WR,Bowling Green
173,Mack Vincent,2673,2000,2003,46,203,2673,13.2,18,58.1,WR,Louisiana-Monroe
174,Jonathan Duhart,2664,2014,2018,50,183,2664,14.6,28,53.3,WR,Old Dominion
175,Donovan Varner,2660,2008,2011,47,207,2660,12.9,13,56.6,WR,Duke
176,Zach Pascal,2659,2014,2016,37,192,2659,13.8,24,71.9,WR,Old Dominion
177,Cormac Carney,2657,1978,1982,44,158,2657,16.8,16,60.4,WR,"Air Force,UCLA"
178,Kris Adams,2657,2007,2010,48,144,2657,18.5,30,55.4,WR,UTEP
179,Eric Thomas,2655,2010,2013,47,197,2655,13.5,29,56.5,WR,Troy
180,Joshua Atkinson,2654,2012,2016,44,202,2654,13.1,14,60.3,WR,Tulsa
181,Jabari Arthur,2653,2004,2007,45,184,2653,14.4,17,59,WR,Akron
182,Gerald McNeil,2651,1980,1983,44,163,2651,16.3,17,60.3,WR,Baylor
183,Jamal Robinson,2650,2011,2015,51,155,2650,17.1,20,52,WR,Louisiana
184,Nichiren Flowers,2648,2002,2005,44,214,2648,12.4,14,60.2,WR,Nevada
185,Shay Hodge,2646,2006,2009,50,173,2646,15.3,22,52.9,WR,Ole Miss
186,Xavier Weaver,2643,2019,2023,50,184,2643,14.4,12,52.9,WR,"Colorado,South Florida"
187,Duane Gregory,2641,1994,1997,44,181,2641,14.6,14,60,WR,New Mexico State
188,Cedrick Wilson Jr.,2640,2016,2017,27,139,2640,19,18,97.8,WR,Boise State
189,Tutu Atwell,2640,1994,1997,45,171,2640,15.4,17,58.7,WR,Minnesota
190,Khaleb Hood,2637,2019,2023,64,246,2637,10.7,10,41.2,WR,Georgia Southern
191,Roger Lewis,2637,2014,2015,28,158,2637,16.7,23,94.2,WR,Bowling Green
192,Manny Hazard,2635,1989,1990,22,220,2635,12,27,119.8,WR,Houston
193,Matt Bellini,2635,1987,1990,47,204,2635,12.9,15,56.1,RB,BYU
194,Steve Odom,2631,2003,2006,49,216,2631,12.2,19,53.7,WR,Toledo
195,Joel Filani,2626,2003,2006,50,175,2626,15,23,52.5,WR,Texas Tech
196,Allen Lazard,2621,2014,2017,49,197,2621,13.3,19,53.5,WR,Iowa State
197,Chris Collins,2621,2000,2003,48,198,2621,13.2,24,54.6,WR,Ole Miss
198,Papi White,2620,2014,2018,43,161,2620,16.3,19,60.9,RB,Ohio
199,Cody Slate,2619,2006,2009,44,199,2619,13.2,23,59.5,TE,Marshall
200,J.R. Russell,2619,2001,2004,50,186,2619,14.1,19,52.4,WR,Louisville
201,Derrell Johnson-Koulianos,2616,2007,2010,49,173,2616,15.1,17,53.4,WR,Iowa
202,Quinshad Davis,2614,2012,2015,52,205,2614,12.8,25,50.3,WR,North Carolina
203,Deontay Greenberry,2612,2012,2014,37,201,2612,13,20,70.6,WR,Houston
204,Latef Grim,2607,1998,2000,32,174,2607,15,15,81.5,WR,Pitt
205,Earvin Johnson,2604,2001,2004,44,183,2604,14.2,16,59.2,WR,Nevada-Las Vegas
206,Josh Kelly,2604,2019,2024,43,179,2604,14.5,15,60.6,WR,"Fresno State,Texas Tech,Washington State"
207,Tayvion Robinson,2604,2019,2023,60,194,2604,13.4,16,43.4,WR,"Kentucky,Virginia Tech"
208,Quan Cosby,2598,2005,2008,50,212,2598,12.3,19,52,WR,Texas
209,Alec Lemon,2596,2009,2012,47,201,2596,12.9,18,55.2,WR,Syracuse
210,John Simon,2596,1998,2001,46,262,2596,9.9,10,56.4,RB,Louisiana Tech
211,Tony Hartley,2596,1996,1999,43,150,2596,17.3,20,60.4,WR,Oregon
212,Jeff Samardzija,2593,2003,2006,49,179,2593,14.5,27,52.9,WR,Notre Dame
213,Shay Fields,2590,2014,2017,50,194,2590,13.4,21,51.8,WR,Colorado
214,Kerry Wright,2589,2001,2004,46,167,2589,15.5,22,56.3,WR,Middle Tennessee State
215,Jordan Taylor,2588,2011,2014,42,176,2588,14.7,20,61.6,WR,Rice
216,Ladaris Vann,2583,1999,2002,45,204,2583,12.7,14,57.4,WR,Cincinnati
217,Steven Sims Jr.,2582,2015,2018,47,214,2582,12.1,19,54.9,WR,Kansas
218,James Rodgers,2578,2007,2011,51,222,2578,11.6,19,50.5,WR,Oregon State
219,Lavel Bailey,2577,1997,2000,44,138,2577,18.7,21,58.6,WR,Akron
220,Greg Carr,2574,2005,2008,50,148,2574,17.4,29,51.5,WR,Florida State
221,Marcus Kemp,2570,2013,2016,47,176,2570,14.6,13,54.7,WR,Hawaii
222,Carlos Alvarez,2563,1969,1971,32,172,2563,14.9,19,80.1,WR,Florida
223,Shaq Washington,2563,2011,2015,49,240,2563,10.7,11,52.3,WR,Cincinnati
224,Wes Caswell,2562,1993,1998,44,196,2562,13.1,13,58.2,WR,Tulsa
225,A.J. Harris,2561,2005,2008,46,268,2561,9.6,16,55.7,WR,New Mexico State
226,Damon Williams,2558,1995,1998,45,187,2558,13.7,9,56.8,WR,Nevada-Las Vegas
227,Tetairoa McMillan,2557,2022,2024,28,152,2557,16.8,22,91.3,WR,Arizona
228,Elijah Cooks,2554,2017,2022,52,184,2554,13.9,28,49.1,WR,"Nevada,San Jose State"
229,Lou Fanucchi,2554,1999,2002,47,131,2554,19.5,17,54.3,WR,Boise State
230,Reggie Newhouse,2552,1999,2002,44,183,2552,13.9,15,58,WR,Baylor
231,Armand Robinson,2550,2007,2010,50,210,2550,12.1,15,51,WR,Miami (OH)
232,Jaison Williams,2546,2005,2008,50,174,2546,14.6,21,50.9,WR,Oregon
