,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
34,Mason Rudolph,92,PIT,3,76,2018,Oklahoma State,2014,2017,42,915,1447,532,63.2,13618,92,26,6.4,1.8,159.7,9.4,9.87,14.9,324.2,QB,Oklahoma State
35,Sam Howell,92,WAS,5,144,2022,North Carolina,2019,2021,37,713,1117,404,63.8,10283,92,23,8.2,2.1,164.2,9.2,9.93,14.4,277.9,QB,North Carolina
36,David Klingler,91,CIN,1,6,1992,Houston,1988,1991,32,726,1261,535,57.6,9430,91,38,7.2,3,138.2,7.5,7.57,13,294.7,QB,Houston
37,Deshaun Watson,90,HTX,1,12,2017,Clemson,2014,2016,38,814,1207,393,67.4,10163,90,32,7.5,2.7,157.5,8.4,8.72,12.5,267.4,QB,Clemson
38,Michael Pratt,90,GNB,7,245,2024,Tulane,2020,2023,46,729,1203,474,60.6,9602,90,26,7.5,2.2,148,8,8.51,13.2,208.7,QB,Tulane
39,Ryan Lindley,90,CRD,6,185,2012,San Diego State,2008,2011,49,961,1732,771,55.5,12690,90,47,5.2,2.7,128.8,7.3,7.14,13.2,259,QB,San Diego State
40,Trevor Lawrence,90,JAX,1,1,2021,Clemson,2018,2020,40,758,1138,380,66.6,10098,90,17,7.9,1.5,164.3,8.9,9.78,13.3,252.5,QB,Clemson
41,Byron Leftwich,89,JAX,1,7,2003,Marshall,1998,2002,54,939,1442,503,65.1,11903,89,28,6.2,1.9,150.9,8.3,8.62,12.7,220.4,QB,Marshall
42,Jayden Daniels,89,WAS,1,2,2024,LSU,2019,2023,55,953,1438,485,66.3,12749,89,20,6.2,1.4,158.4,8.9,9.48,13.4,231.8,QB,"Arizona State,LSU"
43,Peyton Manning,89,CLT,1,1,1998,Tennessee,1994,1997,45,863,1381,518,62.5,11201,89,33,6.4,2.4,147.1,8.1,8.32,13,248.9,QB,Tennessee
44,Cody Kessler,88,CLE,3,93,2016,USC,2012,2015,51,851,1261,410,67.5,10339,88,19,7,1.5,156.4,8.2,8.92,12.1,202.7,QB,USC
45,Dorian Thompson-Robinson,88,CLE,5,140,2023,UCLA,2018,2022,50,860,1359,499,63.3,10710,88,36,6.5,2.6,145.6,7.9,7.98,12.5,214.2,QB,UCLA
46,Jordan Palmer,88,WAS,6,205,2007,UTEP,2003,2006,46,851,1427,576,59.6,11084,88,64,6.2,4.5,136.3,7.8,6.98,13,241,QB,UTEP
47,Sam Bradford,88,RAM,1,1,2010,Oklahoma,2007,2009,31,604,893,289,67.6,8403,88,16,9.9,1.8,175.6,9.4,10.57,13.9,271.1,QB,Oklahoma
48,Tim Tebow,88,DEN,1,25,2010,Florida,2006,2009,55,661,995,334,66.4,9285,88,16,8.8,1.6,170.8,9.3,10.38,14,168.8,QB,Florida
49,Chad Henne,87,MIA,2,57,2008,Michigan,2004,2007,47,828,1387,559,59.7,9715,87,37,6.3,2.7,133.9,7,7.06,11.7,206.7,QB,Michigan
50,Desmond Ridder,87,ATL,3,74,2022,Cincinnati,2018,2021,50,810,1304,494,62.1,10239,87,28,6.7,2.1,145.8,7.9,8.22,12.6,204.8,QB,Cincinnati
51,Devin Leary,87,RAV,6,218,2024,Kentucky,2019,2023,43,777,1315,538,59.1,9553,87,28,6.6,2.1,137.7,7.3,7.63,12.3,222.2,QB,"Kentucky,North Carolina State"
52,Luke McCown,87,CLE,4,106,2004,Louisiana Tech,2000,2003,43,1063,1775,712,59.9,12666,87,62,4.9,3.5,129,7.1,6.54,11.9,294.6,QB,Louisiana Tech
53,Tua Tagovailoa,87,MIA,1,5,2020,Alabama,2017,2019,33,474,684,210,69.3,7442,87,11,12.7,1.6,199.4,10.9,12.7,15.7,225.5,QB,Alabama
54,Jerry Rhome,86,NYJ,25,195,1964,Tulsa,1961,1964,60,896,1426,530,62.8,10944,86,46,6,3.2,140.8,7.7,7.43,12.2,182.4,QB,"SMU,Tulsa"
55,Ken Dorsey,86,SFO,7,241,2003,Miami (FL),1999,2002,41,668,1153,485,57.9,9565,86,28,7.5,2.4,147.4,8.3,8.69,14.3,233.3,QB,Miami (FL)
56,Sean Clifford,86,GNB,5,149,2023,Penn State,2018,2022,51,833,1356,523,61.4,10661,86,31,6.3,2.3,143.8,7.9,8.1,12.8,209,QB,Penn State
57,Andrew Walter,85,RAI,3,69,2005,Arizona State,2001,2004,48,777,1416,639,54.9,10617,85,36,6,2.5,132.6,7.5,7.55,13.7,221.2,QB,Arizona State
58,Bruce Gradkowski,85,TAM,6,194,2006,Toledo,2002,2005,49,766,1123,357,68.2,9225,85,27,7.6,2.4,157.4,8.2,8.65,12,188.3,QB,Toledo
59,C.J. Stroud,85,HTX,1,2,2023,Ohio State,2020,2022,27,575,830,255,69.3,8123,85,12,10.2,1.4,182.4,9.8,11.18,14.1,300.9,QB,Ohio State
60,Kevin Kolb,85,PHI,2,36,2007,Houston,2003,2006,50,964,1565,601,61.6,12964,85,31,5.4,2,145.1,8.3,8.48,13.4,259.3,QB,Houston
61,Ben Roethlisberger,84,PIT,1,11,2004,Miami (OH),2001,2003,38,854,1304,450,65.5,10829,84,34,6.4,2.6,151.3,8.3,8.42,12.7,285,QB,Miami (OH)
62,Chris Redman,84,RAV,3,75,2000,Louisville,1996,1999,43,1031,1679,648,61.4,12541,84,51,5,3,134.6,7.5,7.1,12.2,291.7,QB,Louisville
63,Dan Orlovsky,84,DET,5,145,2005,Connecticut,2001,2004,46,916,1567,651,58.5,10706,84,51,5.4,3.3,127,6.8,6.44,11.7,232.7,QB,Connecticut
64,Jim McMahon,84,CHI,1,5,1982,BYU,1977,1981,47,653,1060,407,61.6,9536,84,34,7.9,3.2,156.9,9,9.14,14.6,202.9,P,BYU
