,Round
8463,0
14815,0
7072,3
7959,0
11988,0
12646,5
12585,0
15077,0
2407,6
11964,7
14059,0
6460,0
36,0
7601,0
3253,0
2255,4
2236,4
2114,0
12053,0
2004,0
9196,0
6938,0
6962,0
11744,1
1816,0
2107,1
14241,0
3006,0
6537,0
8275,0
14016,0
2033,0
12956,0
11794,0
3370,0
7994,3
6534,0
1571,0
2123,0
64,0
12066,0
13938,0
3070,0
14746,0
8523,6
2670,0
2342,0
2335,0
8161,0
9221,2
8114,0
1902,0
13946,0
1874,0
2184,0
13846,0
14959,0
12231,0
2466,0
2377,0
7766,0
2245,0
6789,0
13070,0
14703,0
11669,0
8142,0
14088,0
11381,0
9105,7
2697,0
9404,0
9501,1
13757,0
11887,0
9023,0
12554,0
3347,0
12025,0
12696,0
6456,4
7644,0
7985,0
6833,0
2977,0
1767,3
12262,7
6200,4
118,7
8182,0
11835,0
2674,0
13210,0
12561,0
3304,0
7732,0
13488,0
2122,0
9249,6
2350,0
12770,2
13080,0
13098,0
7954,0
2040,0
11417,0
11725,6
8634,0
9320,1
2960,0
3139,0
12207,0
7200,0
61,5
7429,0
11940,0
12931,7
9487,2
7753,0
14060,0
9315,0
6666,0
8495,0
11790,0
8600,0
9151,5
7546,0
6271,0
12270,2
12235,4
11327,0
14950,6
7148,2
2130,0
12247,0
12697,0
3092,0
2502,1
7838,0
13295,0
7530,3
7171,0
13742,0
9250,1
7025,0
8334,7
14623,0
6588,3
7705,0
11934,0
13574,6
2297,0
2219,0
12090,0
14492,0
1784,0
7229,0
7814,2
2917,0
3383,0
6416,0
13822,0
2308,0
11265,0
12846,0
7610,0
8477,0
13175,6
7692,4
7255,0
6324,0
12160,0
12426,0
14388,0
3301,0
9258,0
11786,3
12417,4
7537,0
12955,0
11637,0
7803,0
2780,0
3230,3
8012,0
8614,0
6866,0
12567,0
3047,0
6792,0
9287,6
13363,0
6937,0
15166,6
6872,2
15131,0
9252,3
9390,0
2964,0
12614,7
11665,0
8616,0
8552,0
13701,0
12642,7
14433,0
6563,0
12471,0
7962,5
14053,0
8406,0
14347,0
6680,0
6903,4
15106,0
12840,0
13928,5
8568,0
2775,0
11505,0
13119,0
12205,0
13553,0
1903,0
7225,5
145,4
6598,0
2534,0
