,Pass_TD,From,To,G,Cmp,Pass_Att,Inc,Cmp%,Pass_Yds,Int,TD%,Int%,Rate,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pos,Team,Rush_Yds,Rush_Att,Rush_Y/A,Rush_TD,Rush_Y/G,Rec_Yds,Rec,Y/R,Rec_TD,Rec_Y/G
97,0.0,2023,2024,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,['Navy'],948.0,157.0,6.0,7.0,63.2,0.0,0.0,0.0,0.0,0.0
14875,0.0,2019,2024,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Missouri', 'Oklahoma']",0.0,0.0,0.0,0.0,0.0,2013.0,139.0,14.5,16.0,37.3
6535,0.0,1995,1998,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Boston College'],3597.0,614.0,5.9,25.0,79.9,524.0,58.0,9.0,2.0,11.6
9222,0.0,2003,2006,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Oregon State'],0.0,0.0,0.0,0.0,0.0,1308.0,105.0,12.5,15.0,33.5
12988,0.0,2006,2009,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Arizona State'],0.0,0.0,0.0,0.0,0.0,2242.0,168.0,13.3,9.0,44.8
12023,0.0,1997,2000,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Syracuse'],0.0,0.0,0.0,0.0,0.0,1047.0,62.0,16.9,7.0,23.8
7367,0.0,2007,2010,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Central Michigan'],933.0,210.0,4.4,8.0,25.9,0.0,0.0,0.0,0.0,0.0
9270,0.0,2006,2008,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['California'],0.0,0.0,0.0,0.0,0.0,484.0,41.0,11.8,10.0,14.2
2768,28.0,2012,2015,33,482.0,870.0,388.0,55.4,5128.0,20.0,3.2,2.3,110.9,5.9,5.5,10.6,155.4,QB,['Akron'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12486,0.0,2001,2004,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Maryland'],0.0,0.0,0.0,0.0,0.0,882.0,61.0,14.5,3.0,18.8
7800,0.0,2012,2014,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['South Carolina'],2440.0,454.0,5.4,22.0,65.9,755.0,70.0,10.8,2.0,20.4
3296,49.0,2021,2024,35,716.0,1193.0,477.0,60.0,7561.0,34.0,4.1,2.8,121.1,6.3,5.88,10.6,216.0,QB,['Hawaii'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6630,0.0,1996,1998,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['South Carolina'],1586.0,302.0,5.3,14.0,49.6,0.0,0.0,0.0,0.0,0.0
13006,0.0,2006,2009,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Baylor'],0.0,0.0,0.0,0.0,0.0,837.0,73.0,11.5,4.0,18.2
12457,0.0,2001,2003,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Iowa State'],0.0,0.0,0.0,0.0,0.0,1273.0,84.0,15.2,10.0,35.4
1935,115.0,1997,1999,33,1015.0,1552.0,537.0,65.4,12746.0,35.0,7.4,2.3,154.3,8.2,8.68,12.6,386.2,QB,['Louisiana Tech'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6861,0.0,2000,2004,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,"['Kentucky', 'North Carolina']",1801.0,347.0,5.2,16.0,47.4,0.0,0.0,0.0,0.0,0.0
12776,1.0,2004,2007,51,1.0,5.0,4.0,20.0,53.0,2.0,20.0,40.0,95.0,10.6,-3.4,53.0,1.0,WR,['Virginia Tech'],0.0,0.0,0.0,0.0,0.0,1778.0,119.0,14.9,12.0,34.9
11916,0.0,1996,1998,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Georgia Tech'],0.0,0.0,0.0,0.0,0.0,840.0,69.0,12.2,2.0,27.1
7007,0.0,2002,2005,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Kansas'],2754.0,641.0,4.3,13.0,57.4,1229.0,122.0,10.1,2.0,25.6
15092,0.0,2021,2023,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Florida International', 'Maryland']",0.0,0.0,0.0,0.0,0.0,1669.0,103.0,16.2,14.0,59.6
2357,38.0,2005,2008,46,509.0,881.0,372.0,57.8,5749.0,32.0,4.3,3.6,119.6,6.5,5.75,11.3,125.0,QB,['Louisiana-Monroe'],1557.0,405.0,3.8,11.0,33.8,0.0,0.0,0.0,0.0,0.0
7513,0.0,2009,2011,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Temple'],3570.0,663.0,5.4,53.0,105.0,0.0,0.0,0.0,0.0,0.0
12165,0.0,1999,2002,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Toledo'],0.0,0.0,0.0,0.0,0.0,1966.0,149.0,13.2,17.0,42.7
12736,0.0,2003,2006,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Eastern Michigan'],0.0,0.0,0.0,0.0,0.0,952.0,95.0,10.0,2.0,21.6
7282,0.0,2006,2010,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['USC'],1585.0,267.0,5.9,16.0,30.5,0.0,0.0,0.0,0.0,0.0
7481,0.0,2008,2011,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['North Texas'],4224.0,782.0,5.4,41.0,103.0,1033.0,97.0,10.6,8.0,25.2
2860,17.0,2013,2016,40,281.0,499.0,218.0,56.3,3038.0,13.0,3.4,2.6,113.5,6.1,5.6,10.8,76.0,QB,['Texas'],966.0,256.0,3.8,24.0,24.2,0.0,0.0,0.0,0.0,0.0
3300,93.0,2021,2023,37,735.0,1099.0,364.0,66.9,10082.0,14.0,8.5,1.3,169.3,9.2,10.29,13.7,272.5,QB,"['Oklahoma', 'USC']",966.0,289.0,3.3,27.0,26.1,0.0,0.0,0.0,0.0,0.0
14748,0.0,2018,2022,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Middle Tennessee State'],0.0,0.0,0.0,0.0,0.0,1504.0,152.0,9.9,8.0,32.7
15032,0.0,2021,2024,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Georgia', 'Missouri']",0.0,0.0,0.0,0.0,0.0,1791.0,150.0,11.9,8.0,41.7
8370,0.0,2018,2020,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Kansas'],2382.0,415.0,5.7,12.0,91.6,0.0,0.0,0.0,0.0,0.0
12132,0.0,1998,1998,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Utah State'],0.0,0.0,0.0,0.0,0.0,808.0,55.0,14.7,6.0,73.5
14248,0.0,2015,2018,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Georgia'],0.0,0.0,0.0,0.0,0.0,1788.0,133.0,13.4,11.0,33.1
8178,0.0,2016,2018,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Penn State'],1649.0,276.0,6.0,12.0,43.4,0.0,0.0,0.0,0.0,0.0
14989,0.0,2020,2024,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Eastern Michigan', 'North Carolina State']",0.0,0.0,0.0,0.0,0.0,891.0,79.0,11.3,1.0,18.2
12227,0.0,1999,2001,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Syracuse'],0.0,0.0,0.0,0.0,0.0,811.0,59.0,13.7,2.0,23.9
115,0.0,1992,1995,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KR,['Tennessee'],0.0,0.0,0.0,0.0,0.0,381.0,26.0,14.7,3.0,8.7
8053,0.0,2015,2016,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Charlotte'],1868.0,379.0,4.9,9.0,81.2,0.0,0.0,0.0,0.0,0.0
2992,76.0,2016,2021,49,661.0,1048.0,387.0,63.1,8378.0,19.0,7.3,1.8,150.5,8.0,8.63,12.7,171.0,QB,"['Houston', 'Miami (FL)']",2055.0,423.0,4.9,32.0,41.9,0.0,0.0,0.0,0.0,0.0
9195,0.0,2001,2004,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Central Michigan'],0.0,0.0,0.0,0.0,0.0,862.0,68.0,12.7,7.0,21.6
13687,0.0,2011,2015,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Cincinnati'],0.0,0.0,0.0,0.0,0.0,2563.0,240.0,10.7,11.0,52.3
6550,0.0,1995,1997,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Navy'],1580.0,328.0,4.8,14.0,47.9,0.0,0.0,0.0,0.0,0.0
13582,0.0,2011,2012,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Utah State'],0.0,0.0,0.0,0.0,0.0,826.0,61.0,13.5,7.0,31.8
