,Round
12215,0
9325,0
3289,0
6585,0
8277,0
11749,0
14311,0
14534,6
3126,5
13505,0
3052,0
12319,0
11813,0
14904,0
6244,3
15011,6
14152,0
7326,0
6880,0
12852,0
11973,7
11589,0
12399,0
12610,0
2582,0
12835,0
11801,0
3234,0
12182,1
2426,0
7354,2
3059,1
11914,0
14339,7
6552,4
1833,0
7053,0
6741,7
2706,0
14772,0
7264,0
1703,0
39,0
13529,7
13190,1
1968,0
2251,0
12779,2
12973,0
12532,5
2260,0
14048,2
2844,1
8356,0
1875,0
11958,0
7942,0
7580,0
12174,0
8213,0
1627,0
13682,0
14892,0
15080,0
7363,0
13119,0
2552,0
12260,0
14459,0
7666,5
1681,0
14976,2
15173,0
13239,0
129,6
14377,2
6608,0
11681,0
11524,0
11670,4
15024,0
14866,2
11732,0
2491,0
13069,0
12676,0
14127,0
1910,0
15184,0
13201,0
9414,1
13416,5
12863,0
12449,0
12949,3
2592,4
11984,0
9532,1
8340,0
12236,0
11874,0
7980,0
3373,0
2818,0
6498,0
2747,4
12128,0
11826,0
11890,3
13900,1
13878,0
12337,2
8480,0
14105,0
2434,6
2464,5
2234,0
7832,0
7129,0
6236,0
12069,0
9193,7
2379,0
14557,0
13177,0
2611,0
13460,0
13018,0
6898,0
2533,0
2156,0
8010,2
9423,0
14999,0
7352,0
12526,0
9332,7
8129,6
9192,5
11763,0
6607,0
12502,0
13598,0
7808,0
8537,0
83,0
6896,0
7406,1
14512,0
1745,0
8364,0
13823,0
13652,0
14621,0
14298,2
13685,0
14226,0
6786,0
14205,0
14189,0
7783,0
12996,0
13663,0
13012,0
7900,0
14971,0
2444,0
7458,0
14916,0
9210,2
6724,0
11742,3
14398,0
32,0
3027,0
8027,2
14044,0
2947,1
9186,4
2470,0
7462,0
12720,0
7614,0
15163,2
3325,0
14650,0
9392,6
2836,5
13644,0
1758,0
2705,0
2038,6
11921,7
7603,0
12948,0
7432,0
6899,0
2217,0
6771,0
9242,5
7994,3
8350,0
14684,5
12193,0
6252,0
9587,0
13341,4
13974,0
13081,2
11443,0
11508,0
11899,0
14640,0
2812,0
11745,0
7438,0
12578,1
11734,2
14363,4
2640,0
12214,0
15203,5
7981,0
7814,2
13709,0
8470,4
9579,0
7295,0
8535,0
1909,0
7818,0
14833,0
3311,0
13248,0
7523,0
15053,0
13408,0
1845,0
11830,0
9250,1
12353,0
13354,0
7430,0
2429,0
12375,0
7500,2
9039,1
1882,0
6502,0
2438,0
1844,0
6193,6
14510,0
12710,0
12847,0
7312,0
8121,4
3076,0
7216,0
3163,0
11729,4
2601,0
7645,0
70,0
11600,0
1772,0
2417,0
13044,0
12403,0
15188,2
15085,0
9287,6
6999,0
7076,0
2838,0
14903,0
12607,0
3177,0
3215,0
9219,7
2344,0
12587,5
12775,0
9209,0
11712,0
6411,0
13954,4
13534,0
6488,0
12759,0
2342,0
12368,1
11808,2
6255,0
12638,0
12642,7
9106,0
